CODE	TYPE	DBPEDIA_URI	IMDB_URI
A_Little_Night_Music	Movie	http://dbpedia.org/resource/A_Little_Night_Music_(film)	http://www.imdb.com/title/tt0076319/
Absolution	Movie	http://dbpedia.org/resource/Absolution_(1978_film)	http://www.imdb.com/title/tt0081975/
Alexander_the_Great	Movie	http://dbpedia.org/resource/Alexander_the_Great_(1956_film)	http://www.imdb.com/title/tt0048937/
Anne_of_the_Thousand_Days	Movie	http://dbpedia.org/resource/Anne_of_the_Thousand_Days	http://www.imdb.com/title/tt0064030/
Arthur_Ibbetson	Artist	http://dbpedia.org/resource/Arthur_Ibbetson	http://www.imdb.com/name/nm0406471/
Beau_Brummell	Movie	http://dbpedia.org/resource/Beau_Brummell_(film)	http://www.imdb.com/title/tt0046759/
Becket	Movie	http://dbpedia.org/resource/Becket_(1964_film)	http://www.imdb.com/title/tt0057877/
Boom!	Movie	http://dbpedia.org/resource/Boom_(film)	http://www.imdb.com/title/tt0062751/
Brian_G._Hutton	Artist	http://dbpedia.org/resource/Brian_G._Hutton	http://www.imdb.com/name/nm0404606/
Cat_on_a_Hot_Tin_Roof	Movie	http://dbpedia.org/resource/Cat_on_a_Hot_Tin_Roof_(1958_film)	http://www.imdb.com/title/tt0051459/
Cleopatra	Movie	http://dbpedia.org/resource/Cleopatra_(1963_film)	http://www.imdb.com/title/tt0056937/
Dorothy_Spencer	Artist	http://dbpedia.org/resource/Dorothy_Spencer	http://www.imdb.com/name/nm0817929/
Elizabeth_Taylor	Artist	http://dbpedia.org/resource/Elizabeth_Taylor	http://www.imdb.com/name/nm0000072/
Elliott_Kastner	Artist	http://dbpedia.org/resource/Elliott_Kastner	http://www.imdb.com/name/nm0440990/
Equus	Movie	http://dbpedia.org/resource/Equus_(film)	http://www.imdb.com/title/tt0075995/
Father_of_the_Bride	Movie	http://dbpedia.org/resource/Father_of_the_Bride_(1950_film)	http://www.imdb.com/title/tt0042451/
Jack_Hildyard	Artist	http://dbpedia.org/resource/Jack_Hildyard	http://www.imdb.com/name/nm0005742/
Jay_Kanter	Artist	http://dbpedia.org/resource/Jay_Kanter	http://www.imdb.com/name/nm0437905/
John_Barry	Artist	http://dbpedia.org/resource/John_Barry_(composer)	http://www.imdb.com/name/nm0000290/
John_Huston	Artist	http://dbpedia.org/resource/John_Huston	http://www.imdb.com/name/nm0001379/
Laurence_Rosenthal	Artist	http://dbpedia.org/resource/Laurence_Rosenthal	http://www.imdb.com/name/nm0002304/
Lester_Persky	Artist	http://dbpedia.org/resource/Lester_Persky	http://www.imdb.com/name/nm0675483/
Look_Back_in_Anger	Movie	http://dbpedia.org/resource/Look_Back_in_Anger_(1959_film)	http://www.imdb.com/title/tt0051879/
Michael_Hordern	Artist	http://dbpedia.org/resource/Michael_Hordern	http://www.imdb.com/name/nm0394588/
Night_Watch	Movie	http://dbpedia.org/resource/Night_Watch_(1973_film)	http://www.imdb.com/title/tt0070444/
Oswald_Morris	Artist	http://dbpedia.org/resource/Oswald_Morris	http://www.imdb.com/name/nm0005807/
Paul_Dehn	Artist	http://dbpedia.org/resource/Paul_Dehn	http://www.imdb.com/name/nm0214989/
Peter_Glenville	Artist	http://dbpedia.org/resource/Peter_Glenville	http://www.imdb.com/name/nm0322706/
Prince_of_Players	Movie	http://dbpedia.org/resource/Prince_of_Players	http://www.imdb.com/title/tt0048510/
Ray_Stark	Artist	http://dbpedia.org/resource/Ray_Stark	http://www.imdb.com/name/nm0823256/
Reflections_in_a_Golden_Eye	Movie	http://dbpedia.org/resource/Reflections_in_a_Golden_Eye_(film)	http://www.imdb.com/title/tt0062185/
Richard_Burton	Artist	http://dbpedia.org/resource/Richard_Burton	http://www.imdb.com/name/nm0000009/
Suddenly,_Last_Summer	Artist	http://dbpedia.org/resource/Suddenly,_Last_Summer_(film)	http://www.imdb.com/title/tt0053318/
Tennessee_Williams	Artist	http://dbpedia.org/resource/Tennessee_Williams	http://www.imdb.com/name/nm0931783/
The_Comedians	Movie	http://dbpedia.org/resource/The_Comedian_(1967_film)	http://www.imdb.com/title/tt0061502
The_Medusa_Touch	Movie	http://dbpedia.org/resource/The_Medusa_Touch_(film)	http://www.imdb.com/title/tt0077921/
The_Night_of_the_Iguana	Movie	http://dbpedia.org/resource/The_Night_of_the_Iguana_(film)	http://www.imdb.com/title/tt0058404/
The_Sandpiper	Movie	http://dbpedia.org/resource/The_Sandpiper	http://www.imdb.com/title/tt0059674/
The_Spy_Who_Came_in_from_the_Cold	Movie	http://dbpedia.org/resource/The_Spy_Who_Came_in_from_the_Cold_(film)	http://www.imdb.com/title/tt0059749/
The_Taming_of_the_Shrew	Movie	http://dbpedia.org/resource/The_Taming_of_the_Shrew_(1967_film)	http://www.imdb.com/title/tt0061407/
The_V.I.P.s	Movie	http://dbpedia.org/resource/The_V.I.P.s_(film)	http://www.imdb.com/title/tt0057634/
The_Wild_Geese	Movie	http://dbpedia.org/resource/The_Wild_Geese	http://www.imdb.com/title/tt0078492/
Villain	Movie	http://dbpedia.org/resource/Villain_(1971_film)	http://www.imdb.com/title/tt0067952/
Vincente_Minnelli	Artist	http://dbpedia.org/resource/Vincente_Minnelli	http://www.imdb.com/name/nm0591486/
Where_Eagles_Dare	Movie	http://dbpedia.org/resource/Where_Eagles_Dare	http://www.imdb.com/title/tt0065207/
Zee_and_Co.	Movie	http://dbpedia.org/resource/Zee_and_Co.	http://www.imdb.com/title/tt0069516/
Zulu	Movie	http://dbpedia.org/resource/Zulu_(1964_film)	http://www.imdb.com/title/tt0058777/
