CODE	TYPE	DBPEDIA_URI	IMDB_URI
Adam's_Rib	Movie	http://dbpedia.org/resource/Adam%27s_Rib	http://www.imdb.com/title/tt0041090/
An_Affair_to_Remember	Movie	http://dbpedia.org/resource/An_Affair_to_Remember	http://www.imdb.com/title/tt0050105/
Bringing_Up_Baby	Movie	http://dbpedia.org/resource/Bringing_Up_Baby	http://www.imdb.com/title/tt0029947/
Cary_Grant	Artist	http://dbpedia.org/resource/Cary_Grant	http://www.imdb.com/name/nm0000026/
Crisis	Movie	http://dbpedia.org/resource/Crisis_(1950_film)	http://www.imdb.com/title/tt0042352/
Donald_Ogden_Stewart	Artist	http://dbpedia.org/resource/Donald_Ogden_Stewart	http://www.imdb.com/name/nm0829330/
Franz_Planer	Artist	http://dbpedia.org/resource/Franz_Planer	http://www.imdb.com/name/nm0005832/
Franz_Waxman	Artist	http://dbpedia.org/resource/Franz_Waxman	http://www.imdb.com/name/nm0000077/
George_Cukor	Artist	http://dbpedia.org/resource/George_Cukor	http://www.imdb.com/name/nm0002030/
Holiday	Movie	http://dbpedia.org/resource/Holiday_(1938_film)	http://www.imdb.com/title/tt0030241/
Howard_Hawks	Artist	http://dbpedia.org/resource/Howard_Hawks	http://www.imdb.com/name/nm0001328/
Katharine_Hepburn	Artist	http://dbpedia.org/resource/Katharine_Hepburn	http://www.imdb.com/name/nm0000031/
Love_Affair	Movie	http://dbpedia.org/resource/Love_Affair_(1939_film)	http://www.imdb.com/title/tt0031593/
Love_Among_the_Ruins	Movie	http://dbpedia.org/resource/Love_Among_the_Ruins_(film)	http://www.imdb.com/title/tt0073310/
Max_Steiner	Artist	http://dbpedia.org/resource/Max_Steiner	http://www.imdb.com/name/nm0000070/
Miklós_Rózsa	Artist	http://dbpedia.org/resource/Mikl%C3%B3s_R%C3%B3zsa	http://www.imdb.com/name/nm0000067/
Monkey_Business	Movie	http://dbpedia.org/resource/Monkey_Business_(1952_film)	http://www.imdb.com/title/tt0044916/
Mr._Lucky	Movie	http://dbpedia.org/resource/Mr._Lucky_(film)	http://www.imdb.com/title/tt0036174/
Once_Upon_a_Time	Movie	http://dbpedia.org/resource/Once_Upon_a_Time_(1944_film)	http://www.imdb.com/title/tt0037150/
Room_for_One_More	Movie	http://dbpedia.org/resource/Room_for_One_More	http://www.imdb.com/title/tt0045102/
Roy_Webb	Artist	http://dbpedia.org/resource/Roy_Webb	http://www.imdb.com/name/nm0002202/
Sidney_Buchman	Artist	http://dbpedia.org/resource/Sidney_Buchman	http://www.imdb.com/name/nm0118227/
Stage_Door	Movie	http://dbpedia.org/resource/Stage_Door	http://www.imdb.com/title/tt0029604/
Suspicion	Movie	http://dbpedia.org/resource/Suspicion_(1941_film)	http://www.imdb.com/title/tt0034248/
The_Awful_Truth	Movie	http://dbpedia.org/resource/The_Awful_Truth	http://www.imdb.com/title/tt0028597/
The_Little_Minister	Movie	http://dbpedia.org/resource/The_Little_Minister_(1934_film)	http://www.imdb.com/title/tt0025409/
The_Philadelphia_Story	Movie	http://dbpedia.org/resource/The_Philadelphia_Story_(film)	http://www.imdb.com/title/tt0032904/
William_Hamilton	Artist	http://dbpedia.org/resource/William_Hamilton_(film_editor)	http://www.imdb.com/name/nm0358215/
Woman_of_the_Year	Movie	http://dbpedia.org/resource/Woman_of_the_Year	http://www.imdb.com/title/tt0035567/
