CODE	TYPE	DBPEDIA_URI	IMDB_URI
A_Midsummer_Night's_Dream	Movie	http://dbpedia.org/resource/A_Midsummer_Night%27s_Dream_(1935_film)	http://www.imdb.com/title/tt0026714/
Captain_Blood	Movie	http://dbpedia.org/resource/Captain_Blood_(1935_film)	http://www.imdb.com/title/tt0026174/
Cry_Wolf	Movie	http://dbpedia.org/resource/Cry_Wolf_(1947_film)	http://www.imdb.com/title/tt0039288/
Devotion	Movie	http://dbpedia.org/resource/Devotion_(1946_film)	http://www.imdb.com/title/tt0038474/
Dodge_City	Movie	http://dbpedia.org/resource/Dodge_City_(film)	http://www.imdb.com/title/tt0031235/
Edge_of_Darkness	Movie	http://dbpedia.org/resource/Edge_of_Darkness_(1943_film)	http://www.imdb.com/title/tt0034694/
Erich_Wolfgang_Korngold	Artist	http://dbpedia.org/resource/Erich_Wolfgang_Korngold	http://www.imdb.com/name/nm0006157/
Errol_Flynn	Artist	http://dbpedia.org/resource/Errol_Flynn	http://www.imdb.com/name/nm0001224/
Four's_a_Crowd	Movie	http://dbpedia.org/resource/Four%27s_a_Crowd	http://www.imdb.com/title/tt0030151/
Hal_B._Wallis	Artist	http://dbpedia.org/resource/Hal_B._Wallis	http://www.imdb.com/name/nm0909259/
Hal_Mohr	Artist	http://dbpedia.org/resource/Hal_Mohr	http://www.imdb.com/name/nm0005803/
Henry_Blanke	Artist	http://dbpedia.org/resource/Henry_Blanke	http://www.imdb.com/name/nm0087533/
Olivia_de_Havilland	Artist	http://dbpedia.org/resource/Olivia_de_Havilland	http://www.imdb.com/name/nm0000014/
Ralph_Dawson	Artist	http://dbpedia.org/resource/Ralph_Dawson	http://www.imdb.com/name/nm0206238/
The_Adventures_of_Robin_Hood	Movie	http://dbpedia.org/resource/The_Adventures_of_Robin_Hood	http://www.imdb.com/title/tt0029843/
The_Dawn_Patrol	Movie	http://dbpedia.org/resource/Dawn_patrol_(1938_film)	http://www.imdb.com/title/tt0030044/
The_Prince_and_the_Pauper	Movie	http://dbpedia.org/resource/The_Prince_and_the_Pauper_(1937_film)	http://www.imdb.com/title/tt0029440/
The_Private_Lives_of_Elizabeth_and_Essex	Movie	http://dbpedia.org/resource/The_Private_Lives_of_Elizabeth_and_Essex	http://www.imdb.com/title/tt0031826/
The_Sea_Hawk	Movie	http://dbpedia.org/resource/The_Sea_Hawk_(1940_film)	http://www.imdb.com/title/tt0033028/
They_Died_with_Their_Boots_On	Movie	http://dbpedia.org/resource/They_Died_with_Their_Boots_On	http://www.imdb.com/title/tt0034277/
