CODE	TYPE	DBPEDIA_URI	IMDB_URI
After_the_Thin_Man	Movie	http://dbpedia.org/resource/After_the_Thin_Man	http://www.imdb.com/title/tt0027260/
Another_Thin_Man	Movie	http://dbpedia.org/resource/Another_Thin_Man	http://www.imdb.com/title/tt0031047/
David_O._Selznick	Artist	http://dbpedia.org/resource/David_O._Selznick	http://www.imdb.com/name/nm0006388/
Double_Wedding	Movie	http://dbpedia.org/resource/Double_Wedding	http://www.imdb.com/title/tt0028804/
Forgotten_Faces	Movie	http://dbpedia.org/resource/Forgotten_Faces_(1928_film)	http://www.imdb.com/title/tt0018906/
George_J._Folsey	Artist	http://dbpedia.org/resource/George_J._Folsey	http://www.imdb.com/name/nm0005706/
I_Love_You_Again	Movie	http://dbpedia.org/resource/I_Love_You_Again	http://www.imdb.com/title/tt0032617/
James_Wong_Howe	Artist	http://dbpedia.org/resource/James_Wong_Howe	http://www.imdb.com/name/nm0002146/
Jean_Harlow	Artist	http://dbpedia.org/resource/Jean_Harlow	http://www.imdb.com/name/nm0001318/
John_Barrymore	Artist	http://dbpedia.org/resource/John_Barrymore	http://www.imdb.com/name/nm0000858/
Lawrence_Weingarten	Artist	http://dbpedia.org/resource/Lawrence_Weingarten	http://www.imdb.com/name/nm0918318/
Libeled_Lady	Movie	http://dbpedia.org/resource/Libeled_Lady	http://www.imdb.com/title/tt0027884/
Love_Crazy	Movie	http://dbpedia.org/resource/Love_Crazy_(1941_film)	ttp://www.imdb.com/title/tt0033852/
Manhattan_Melodrama	Movie	http://dbpedia.org/resource/Manhattan_Melodrama	http://www.imdb.com/title/tt0025464/
Men_in_White	Movie	http://dbpedia.org/resource/Men_in_White_(1934_film)	http://www.imdb.com/title/tt0025489/
Mr._Blandings_Builds_His_Dream_House	Movie	http://dbpedia.org/resource/Mr._Blandings_Builds_His_Dream_House	http://www.imdb.com/title/tt0040613/
Myrna_Loy	Artist	http://dbpedia.org/resource/Myrna_Loy	http://www.imdb.com/name/nm0001485/
Night_Flight	Movie	http://dbpedia.org/resource/Night_Flight_(1933_film)	http://www.imdb.com/title/tt0024381/
One_Way_Passage	Movie	http://dbpedia.org/resource/One_Way_Passage	http://www.imdb.com/title/tt0023305/
Ralph_Dawson	Artist	http://dbpedia.org/resource/Ralph_Dawson	http://www.imdb.com/name/nm0206238/
Reckless	Movie	http://dbpedia.org/resource/Reckless_(1935_film)	http://www.imdb.com/title/tt0026914/
Rendezvous	Movie	http://dbpedia.org/resource/Rendezvous_(1935_film)	http://www.imdb.com/title/tt0026922/
Shadow_of_the_Thin_Man	Movie	http://dbpedia.org/resource/Shadow_of_the_Thin_Man	http://www.imdb.com/title/tt0034172/
Sherlock_Holmes	Movie	http://dbpedia.org/resource/Sherlock_Holmes_(1922_film)	http://www.imdb.com/title/tt0013597/
Song_of_the_Thin_Man	Movie	http://dbpedia.org/resource/Song_of_the_Thin_Man	http://www.imdb.com/title/tt0039853/
The_Desert_Song	Movie	http://dbpedia.org/resource/The_Desert_Song_(1929_film)	http://www.imdb.com/title/tt0019813/
The_Thin_Man	Movie	http://dbpedia.org/resource/The_Thin_Man_(film)	http://www.imdb.com/title/tt0025878/
The_Thin_Man_Goes_Home	Movie	http://dbpedia.org/resource/The_Thin_Man_Goes_Home	http://www.imdb.com/title/tt0037365/
Topaze	Movie	http://dbpedia.org/resource/Topaze_(1933_American_film)	http://www.imdb.com/title/tt0024684/
William_Axt	Artist	http://dbpedia.org/resource/William_Axt	http://www.imdb.com/name/nm0002197/
William_H._Daniels	Artist	http://dbpedia.org/resource/William_Daniels_(cinematographer)	http://www.imdb.com/name/nm0200125/
William_Powell	Artist	http://dbpedia.org/resource/William_Powell	http://www.imdb.com/name/nm0001635/
