CODE	TYPE	DBPEDIA_URI	IMDB_URI
12_Angry_Men	Movie	http://dbpedia.org/resource/12_Angry_Men_(1957_film)	http://www.imdb.com/title/tt0050083/
Alfred_Newman	Artist	http://dbpedia.org/resource/Alfred_Newman_(composer)	http://www.imdb.com/name/nm0000055/
Directed_by_John_Ford	Movie	http://dbpedia.org/resource/Directed_by_John_Ford	http://www.imdb.com/title/tt0066997/
Harold_F._Kress	Artist	http://dbpedia.org/resource/Harold_F._Kress	http://www.imdb.com/name/nm0470932/
Harvey	Movie	http://dbpedia.org/resource/Harvey_(film)	http://www.imdb.com/title/tt0042546/
Henry_Fonda	Artist	http://dbpedia.org/resource/Henry_Fonda	http://www.imdb.com/name/nm0000020/
How_the_West_Was_Won	Movie	http://dbpedia.org/resource/How_the_West_Was_Won_(film)	http://www.imdb.com/title/tt0056085/
James_Stewart	Artist	http://dbpedia.org/resource/James_Stewart	http://www.imdb.com/name/nm0000071/
John_Ford	Artist	http://dbpedia.org/resource/John_Ford	http://www.imdb.com/name/nm0000406/
Lee_J._Cobb	Artist	http://dbpedia.org/resource/Lee_J._Cobb	http://www.imdb.com/name/nm0002011/
Leon_Shamroy	Artist	http://dbpedia.org/resource/Leon_Shamroy	http://www.imdb.com/name/nm0005872/
Made_for_Each_Other	Movie	http://dbpedia.org/resource/Made_for_Each_Other_(1939_film)	http://www.imdb.com/title/tt0031602/
Madigan	Movie	http://dbpedia.org/resource/Madigan	http://www.imdb.com/title/tt0063256/
My_Darling_Clementine	Movie	http://dbpedia.org/resource/My_Darling_Clementine	http://www.imdb.com/title/tt0038762/
Rear_Window	Movie	http://dbpedia.org/resource/Rear_Window	http://www.imdb.com/title/tt0047396/
Richard_Widmark	Artist	http://dbpedia.org/resource/Richard_Widmark	http://www.imdb.com/name/nm0001847/
The_Battle_of_Midway	Movie	http://dbpedia.org/resource/The_Battle_of_Midway_(film)	http://www.imdb.com/title/tt0034498/
The_Fugitive	Movie	http://dbpedia.org/resource/The_Fugitive_(1947_film)	http://www.imdb.com/title/tt0039402/
The_Grapes_of_Wrath	Movie	http://dbpedia.org/resource/The_Grapes_of_Wrath_(film)	http://www.imdb.com/title/tt0032551/
The_Man_Who_Shot_Liberty_Valance	Movie	http://dbpedia.org/resource/The_Man_Who_Shot_Liberty_Valance	http://www.imdb.com/title/tt0056217/
The_Mortal_Storm	Movie	http://dbpedia.org/resource/The_Mortal_Storm	http://www.imdb.com/title/tt0032811/
The_Shop_Around_the_Corner	Movie	http://dbpedia.org/resource/The_Shop_Around_the_Corner	http://www.imdb.com/title/tt0033045/
The_Swarm	Movie	http://dbpedia.org/resource/The_Swarm_(film)	http://www.imdb.com/title/tt0078350/
Thelma_Ritter	Artist	http://dbpedia.org/resource/Thelma_Ritter	http://www.imdb.com/name/nm0728812/
Walter_Brennan	Artist	http://dbpedia.org/resource/Walter_Brennan	http://www.imdb.com/name/nm0000974/
Warlock	Movie	http://dbpedia.org/resource/Warlock_(1959_film)	http://www.imdb.com/title/tt0053434/
William_H._Daniels	Artist	http://dbpedia.org/resource/William_H._Daniels	http://www.imdb.com/name/nm0200125/
You_Only_Live_Once	Movie	http://dbpedia.org/resource/You_Only_Live_Once_(film)	http://www.imdb.com/title/tt0029808/
Young_Mr._Lincoln	Movie	http://dbpedia.org/resource/Young_Mr._Lincoln	http://www.imdb.com/title/tt0032155/
