CODE	TYPE	DBPEDIA_URI	IMDB_URI
Alfred_Newman	Artist	http://dbpedia.org/resource/Alfred_Newman_(composer)	http://www.imdb.com/name/nm0000055/
All_About_Eve	Movie	http://dbpedia.org/resource/All_About_Eve	http://www.imdb.com/title/tt0042192/
Bette_Davis	Artist	http://dbpedia.org/resource/Bette_Davis	http://www.imdb.com/name/nm0000012/
Dead_Ringer	Movie	http://dbpedia.org/resource/Dead_Ringer_(1964_film)	http://www.imdb.com/title/tt0057997/
Deception	Movie	http://dbpedia.org/resource/Deception_(1946_film)	http://www.imdb.com/title/tt0038461/
Edmund_Goulding	Artist	http://dbpedia.org/resource/Edmund_Goulding	http://www.imdb.com/name/nm0332539/
Ernest_Haller	Artist	http://dbpedia.org/resource/Ernest_Haller	http://www.imdb.com/name/nm0005735/
Flamingo_Road	Movie	http://dbpedia.org/resource/Flamingo_Road_(film)	http://www.imdb.com/title/tt0041373/
Franz_Waxman	Artist	http://dbpedia.org/resource/Franz_Waxman	http://www.imdb.com/name/nm0000077/
Grand_Hotel	Movie	http://dbpedia.org/resource/Grand_Hotel_(film)	http://www.imdb.com/title/tt0022958/
Herbert_Marshall	Artist	http://dbpedia.org/resource/Herbert_Marshall	http://www.imdb.com/name/nm0003339/
Humoresque	Movie	http://dbpedia.org/resource/Humoresque_(film)	http://www.imdb.com/title/tt0038622/
Jane_Murfin	Artist	http://dbpedia.org/resource/Jane_Murfin	http://www.imdb.com/name/nm0613848/
Joan_Crawford	Artist	http://dbpedia.org/resource/Joan_Crawford	http://www.imdb.com/name/nm0001076/
John_Garfield	Artist	http://dbpedia.org/resource/John_Garfield	http://www.imdb.com/name/nm0002092/
Joseph_L._Mankiewicz	Artist	http://dbpedia.org/resource/Joseph_L._Mankiewicz	http://www.imdb.com/name/nm0000581/
Juarez	Movie	http://dbpedia.org/resource/Juarez_(film)	http://www.imdb.com/title/tt0031516/
Mannequin	Movie	http://dbpedia.org/resource/Mannequin_(1937_film)	http://www.imdb.com/title/tt0030413/
Max_Steiner	Artist	http://dbpedia.org/resource/Max_Steiner	http://www.imdb.com/name/nm0000070/
Merritt_B._Gerstad	Artist	http://dbpedia.org/resource/Merritt_B._Gerstad	http://www.imdb.com/name/nm0005719/
Mildred_Pierce	Movie	http://dbpedia.org/resource/Mildred_Pierce_(film)	http://www.imdb.com/title/tt0037913/
Mr._Skeffington	Movie	http://dbpedia.org/resource/Mr._Skeffington	http://www.imdb.com/title/tt0037094/
Of_Human_Bondage	Movie	http://dbpedia.org/resource/Of_Human_Bondage_(1934_film)	http://www.imdb.com/title/tt0025586/
Old_Acquaintance	Movie	http://dbpedia.org/resource/Old_Acquaintance	http://www.imdb.com/title/tt0036230/
Possessed	Movie	http://dbpedia.org/resource/Possessed_(1931_film)	http://www.imdb.com/title/tt0022276/
Rain	Movie	http://dbpedia.org/resource/Rain_(1932_film)	http://www.imdb.com/title/tt0023369/
Rudi_Fehr	Artist	http://dbpedia.org/resource/Rudi_Fehr	http://www.imdb.com/name/nm0270458/
Strange_Cargo	Movie	http://dbpedia.org/resource/Strange_Cargo_(1940_film)	http://www.imdb.com/title/tt0033105/
The_Best_of_Everything	Movie	http://dbpedia.org/resource/The_Best_of_Everything_(film)	http://www.imdb.com/title/tt0052619/
The_Great_Lie	Movie	http://dbpedia.org/resource/The_Great_Lie	http://www.imdb.com/title/tt0033677/
The_Letter	Movie	http://dbpedia.org/resource/The_Lette_(1940_film)	http://www.imdb.com/title/tt0032701/
The_Unknown	Movie	http://dbpedia.org/resource/Unknown_(1927_film)	http://www.imdb.com/title/tt0018528/
The_Virgin_Queen	Movie	http://dbpedia.org/resource/The_Virgin_Queen_(1955_film)	http://www.imdb.com/title/tt0048791/
The_Women	Movie	http://dbpedia.org/resource/The_Women_(1939_film)	http://www.imdb.com/title/tt0032143/
W._Somerset_Maugham	Artist	http://dbpedia.org/resource/W._Somerset_Maugham	http://www.imdb.com/name/nm0560857/
Watch_on_the_Rhine	Movie	http://dbpedia.org/resource/Watch_on_the_Rhine	http://www.imdb.com/title/tt0036515/
Way_Back_Home	Movie	http://dbpedia.org/resource/Way_Back_Home_(1931_film)	http://www.imdb.com/title/tt0022551/
When_Ladies_Meet	Movie	http://dbpedia.org/resource/When_Ladies_Meet_(1941_film)	http://www.imdb.com/title/tt0034386/
