CODE	TYPE	DBPEDIA_URI	IMDB_URI
Al_St._John	Artist	http://dbpedia.org/resource/Al_St._John	http://www.imdb.com/name/nm0820607/
Caught_in_a_Cabaret	Movie	http://dbpedia.org/resource/Caught_in_a_Cabaret	http://www.imdb.com/title/tt0003758/
Charlie_Chaplin	Artist	http://dbpedia.org/resource/Charlie_Chaplin	http://www.imdb.com/name/nm0000122/
Chester_Conklin	Artist	http://dbpedia.org/resource/Chester_Conklin	http://www.imdb.com/name/nm0174682/
Dough_and_Dynamite	Movie	http://dbpedia.org/resource/Dough_and_Dynamite	http://www.imdb.com/title/tt0003863/
Frank_D._Williams	Artist	http://dbpedia.org/resource/Frank_Williams_(cinematographer)	http://www.imdb.com/name/nm0930596/
Mabel_at_the_Wheel	Movie	http://dbpedia.org/resource/Mabel_at_the_Wheel	http://www.imdb.com/title/tt0004277/
Mack_Swain	Artist	http://dbpedia.org/resource/Mack_Swain	http://www.imdb.com/name/nm0841501/
Modern_Times	Movie	http://dbpedia.org/resource/Modern_Times_(film)	http://www.imdb.com/title/tt0027977/
Pay_Day	Movie	http://dbpedia.org/resource/Pay_Day_(1922_film)	http://www.imdb.com/title/tt0013486/
The_Butcher_Boy	Movie	http://dbpedia.org/resource/The_Butcher_Boy_(1917_film)	http://www.imdb.com/title/tt0007761/
The_Gold_Rush	Movie	http://dbpedia.org/resource/The_Gold_Rush	http://www.imdb.com/title/tt0015864/
The_Idle_Class	Movie	http://dbpedia.org/resource/The_Idle_Class	http://www.imdb.com/title/tt0012304/
The_Knockout	Movie	http://dbpedia.org/resource/The_Knockout	http://www.imdb.com/title/tt0004194/
The_Masquerader	Movie	http://dbpedia.org/resource/Masquerade_(1914_film)	http://www.imdb.com/title/tt0004311/
Tillie's_Punctured_Romance	Movie	http://dbpedia.org/resource/Tillie%27s_Punctured_Romance_(1914_film)	http://www.imdb.com/title/tt0004707/
Twenty_Minutes_of_Love	Movie	http://dbpedia.org/resource/Twenty_Minutes_of_Love	http://www.imdb.com/title/tt0004736/
