CODE	TYPE	DBPEDIA_URI	IMDB_URI
Alfred_Newman	Artist	http://dbpedia.org/resource/Alfred_Newman_(composer)	http://www.imdb.com/name/nm0000055/
Angels_with_Dirty_Faces	Movie	http://dbpedia.org/resource/Angels_with_Dirty_Faces	http://www.imdb.com/title/tt0029870/
Body_and_Soul	Movie	http://dbpedia.org/resource/Body_and_Soul_(1931_film)	http://www.imdb.com/title/tt0021680/
Bold_Venture	Movie	http://dbpedia.org/resource/Bold_Venture	http://www.imdb.com/title/tt0052450/
Claire_Trevor	Artist	http://dbpedia.org/resource/Claire_Trevor	http://www.imdb.com/name/nm0872456/
Dark_Passage	Movie	http://dbpedia.org/resource/Dark_Passage_(film)	http://www.imdb.com/title/tt0039302/
Dead_End	Movie	http://dbpedia.org/resource/Dead_End_(1937_film)	http://www.imdb.com/title/tt0028773/
Edmund_H._North	Artist	http://dbpedia.org/resource/Edmund_H._North	http://www.imdb.com/name/nm0636002/
Franz_Waxman	Artist	http://dbpedia.org/resource/Franz_Waxman	http://www.imdb.com/name/nm0000077/
High_Sierra	Movie	http://dbpedia.org/resource/High_Sierra_(film)	http://www.imdb.com/title/tt0033717/
How_to_Marry_a_Millionaire	Movie	http://dbpedia.org/resource/How_to_Marry_a_Millionaire	http://www.imdb.com/title/tt0045891/
Humphrey_Bogart	Artist	http://dbpedia.org/resource/Humphrey_Bogart	http://www.imdb.com/name/nm0000007/
In_a_Lonely_Place	Movie	http://dbpedia.org/resource/In_a_Lonely_Place	http://www.imdb.com/title/tt0042593/
Jerry_Wald	Artist	http://dbpedia.org/resource/Jerry_Wald	http://www.imdb.com/name/nm0907003/
John_Huston	Artist	http://dbpedia.org/resource/John_Huston	http://www.imdb.com/name/nm0001379/
Jules_Furthman	Artist	http://dbpedia.org/resource/Jules_Furthman	http://www.imdb.com/name/nm0299154/
Key_Largo	Movie	http://dbpedia.org/resource/Key_Largo	http://www.imdb.com/title/tt0040506/
Lauren_Bacall	Artist	http://dbpedia.org/resource/Lauren_Bacall	http://www.imdb.com/name/nm0000002/
Max_Steiner	Artist	http://dbpedia.org/resource/Max_Steiner	http://www.imdb.com/name/nm0000070/
The_African_Queen	Movie	http://dbpedia.org/resource/The_African_Queen_(film)	http://www.imdb.com/title/tt0043265/
The_Caine_Mutiny	Movie	http://dbpedia.org/resource/The_Caine_Mutiny_(film)	http://www.imdb.com/title/tt0046816/
The_Gift_of_Love	Movie	http://dbpedia.org/resource/The_Gift_of_Love	http://www.imdb.com/title/tt0051657/
The_Roaring_Twenties	Movie	http://dbpedia.org/resource/The_Roaring_Twenties	http://www.imdb.com/title/tt0031867/
The_Treasure_of_the_Sierra_Madre	Movie	http://dbpedia.org/resource/The_Treasure_of_the_Sierra_Madre_(film)	http://www.imdb.com/title/tt0040897/
To_Have_and_Have_Not	Movie	http://dbpedia.org/resource/To_Have_and_Have_Not_(film)	http://www.imdb.com/title/tt0037382/
Young_Man_with_a_Horn	Movie	http://dbpedia.org/resource/Young_Man_with_a_Horn_(film)	http://www.imdb.com/title/tt0043153/
