CODE	TYPE	DBPEDIA_URI	IMDB_URI
After_the_Thin_Man	Movie	http://dbpedia.org/resource/After_the_Thin_Man	http://www.imdb.com/title/tt0027260/
Another_Thin_Man	Movie	http://dbpedia.org/resource/Another_Thin_Man	http://www.imdb.com/title/tt0031047/
China_Seas	Movie	http://dbpedia.org/resource/China_Seas_(film)	http://www.imdb.com/title/tt0026205/
David_O._Selznick	Artist	http://dbpedia.org/resource/David_O._Selznick	http://www.imdb.com/name/nm0006388/
Dinner_at_Eight	Movie	http://dbpedia.org/resource/Dinner_at_Eight	http://www.imdb.com/title/tt0023948/
George_J._Folsey	Artist	http://dbpedia.org/resource/George_J._Folsey	http://www.imdb.com/name/nm0005706/
Herbert_Stothart	Artist	http://dbpedia.org/resource/Herbert_Stothart	http://www.imdb.com/name/nm0006307/
I_Love_You_Again	Movie	http://dbpedia.org/resource/I_Love_You_Again	http://www.imdb.com/title/tt0032617/
Jean_Harlow	Artist	http://dbpedia.org/resource/Jean_Harlow	http://www.imdb.com/name/nm0001318/
John_Lee_Mahin	Artist	http://dbpedia.org/resource/John_Lee_Mahin	http://www.imdb.com/name/nm0536941/
Libeled_Lady	Movie	http://dbpedia.org/resource/Libeled_Lady	http://www.imdb.com/title/tt0027884/
Lionel_Barrymore	Artist	http://dbpedia.org/resource/Lionel_Barrymore	http://www.imdb.com/name/nm0000859/
Love_Crazy	Movie	http://dbpedia.org/resource/Love_Crazy_(1941_film)	http://www.imdb.com/title/tt0033852/
Manhattan_Melodrama	Movie	http://dbpedia.org/resource/Manhattan_Melodrama	http://www.imdb.com/title/tt0025464/
Men_in_White	Movie	http://dbpedia.org/resource/Men_in_White_(1934_film)	http://www.imdb.com/title/tt0025489/
Myrna_Loy	Artist	http://dbpedia.org/resource/Myrna_Loy	http://www.imdb.com/name/nm0001485/
Night_Flight	Movie	http://dbpedia.org/resource/Night_Flight_(1933_film)	http://www.imdb.com/title/tt0024381/
Reckless	Movie	http://dbpedia.org/resource/Reckless_(1935_film)	http://www.imdb.com/title/tt0026914/
Renegades	Movie	http://dbpedia.org/resource/Renegades_(1930_film)	http://www.imdb.com/title/tt0021295/
Riffraff	Movie	http://dbpedia.org/resource/Riffraff_(1936_film)	http://www.imdb.com/title/tt0026932/
Shadow_of_the_Thin_Man	Movie	http://dbpedia.org/resource/Shadow_of_the_Thin_Man	http://www.imdb.com/title/tt0034172/
Spencer_Tracy	Artist	http://dbpedia.org/resource/Spencer_Tracy	http://www.imdb.com/name/nm0000075/
Test_Pilot	Movie	http://dbpedia.org/resource/Test_Pilot_(film)	http://www.imdb.com/title/tt0030848/
The_Thin_Man	Movie	http://dbpedia.org/resource/The_Thin_Man_(film)	http://www.imdb.com/title/tt0025878/
The_Thin_Man_Goes_Home	Movie	http://dbpedia.org/resource/The_Thin_Man_Goes_Home	http://www.imdb.com/title/tt0037365/
Topaze	Movie	http://dbpedia.org/resource/Topaze_(1933_American_film)	http://www.imdb.com/title/tt0024684/
Victor_Fleming	Artist	http://dbpedia.org/resource/Victor_Fleming	http://www.imdb.com/name/nm0281808/
Wife_vs._Secretary	Movie	http://dbpedia.org/resource/Wife_vs._Secretary	http://www.imdb.com/title/tt0028505/
William_Axt	Artist	http://dbpedia.org/resource/William_Axt	http://www.imdb.com/name/nm0002197/
William_Powell	Artist	http://dbpedia.org/resource/William_Powell	http://www.imdb.com/name/nm0001635/
