CODE	TYPE	DBPEDIA_URI	IMDB_URI
Alfred_Newman	Artist	http://dbpedia.org/resource/Alfred_Newman_(composer)	http://www.imdb.com/name/nm0000055/
Beau_Geste	Movie	http://dbpedia.org/resource/Beau_Geste_(1926_film)	http://www.imdb.com/title/tt0016634/
Condemned	Movie	http://dbpedia.org/resource/Condemnation	http://www.imdb.com/title/tt0019785/
Dead_End	Movie	http://dbpedia.org/resource/Dead_End_(1937_film)	http://www.imdb.com/title/tt0028773/
Dodsworth	Movie	http://dbpedia.org/resource/Dodsworth_(film)	http://www.imdb.com/title/tt0027532/
E._W._Hornung	Artist	http://dbpedia.org/resource/E._W._Hornung	http://www.imdb.com/name/nm0395216/
Frances_Marion	Artist	http://dbpedia.org/resource/Frances_Marion	http://www.imdb.com/name/nm0547966/
George_Barnes	Artist	http://dbpedia.org/resource/George_Barnes_(cinematographer)	http://www.imdb.com/name/nm0055604/
George_Fitzmaurice	Artist	http://dbpedia.org/resource/George_Fitzmaurice	http://www.imdb.com/name/nm0280463
Gregg_Toland	Artist	http://dbpedia.org/resource/Gregg_Toland	http://www.imdb.com/name/nm0005904/
Hugo_Riesenfeld	Artist	http://dbpedia.org/resource/Hugo_Riesenfeld	http://www.imdb.com/name/nm0006252/
Nana	Movie	http://dbpedia.org/resource/Nana_(1934_film)	http://www.imdb.com/title/tt0025555/
Raffles	Movie	http://dbpedia.org/resource/Raffles_(1930_film)	http://www.imdb.com/title/tt0021281/
Ronald_Colman	Artist	http://dbpedia.org/resource/Ronald_Colman	http://www.imdb.com/name/nm0172903/
Samuel_Goldwyn	Artist	http://dbpedia.org/resource/Samuel_Goldwyn	http://www.imdb.com/name/nm0326418/
Sidney_Howard	Artist	http://dbpedia.org/resource/Sidney_Howard	http://www.imdb.com/name/nm0397608/
Stella_Dallas	Movie	http://dbpedia.org/resource/Stella_Dallas_(1925_film)	http://www.imdb.com/title/tt0016395/
Stuart_Heisler	Artist	http://dbpedia.org/resource/Stuart_Heisler	http://www.imdb.com/name/nm0374702/
The_Awakening	Movie	http://dbpedia.org/resource/Awakening_(1928_film)	http://www.imdb.com/title/tt0018666/
The_Dark_Angel	Movie	http://dbpedia.org/resource/Dark_Angel_(1925_film)	http://www.imdb.com/title/tt0015735/
The_Light_That_Failed	Movie	http://dbpedia.org/resource/The_Light_That_Failed_(1939_film)	http://www.imdb.com/title/tt0031572/
The_Prisoner_of_Zenda	Movie	http://dbpedia.org/resource/The_Prisoner_of_Zenda_(1937_film)	http://www.imdb.com/title/tt0029442/
The_Rescue	Movie	http://dbpedia.org/resource/The_Rescue_(1929_film)	http://www.imdb.com/title/tt0020323/
The_Wedding_Night	Movie	http://dbpedia.org/resource/The_Wedding_Night	http://www.imdb.com/title/tt0027189/
The_Westerner	Movie	http://dbpedia.org/resource/The_Westerner	http://www.imdb.com/title/tt0033253/
The_Winning_of_Barbara_Worth	Movie	http://dbpedia.org/resource/The_Winning_of_Barbara_Worth	http://www.imdb.com/title/tt0017567/
Walter_Huston	Artist	http://dbpedia.org/resource/Walter_Huston	http://www.imdb.com/name/nm0404158/
