CODE	TYPE	DBPEDIA_URI	IMDB_URI
Audrey_Hepburn	Artist	http://dbpedia.org/resource/Audrey_Hepburn	http://www.imdb.com/name/nm0000030/
Behold_a_Pale_Horse	Movie	http://dbpedia.org/resource/Behold_a_Pale_Horse	http://www.imdb.com/title/tt0057879/
Blake_Edwards	Artist	http://dbpedia.org/resource/Blake_Edwards	http://www.imdb.com/name/nm0001175/
Breakfast_at_Tiffany's	Movie	http://dbpedia.org/resource/Breakfast_at_Tiffany's_(film)	http://www.imdb.com/title/tt0054698/
Charade	Movie	http://dbpedia.org/resource/Charade_(1963_film)	http://www.imdb.com/title/tt0056923/
Charles_Boyer	Artist	http://dbpedia.org/resource/Charles_Boyer	http://www.imdb.com/name/nm0000964/
Charles_Lang	Artist	http://dbpedia.org/resource/Charles_Lang	http://www.imdb.com/name/nm0485702/
Eli_Wallach	Artist	http://dbpedia.org/resource/Eli_Wallach	http://www.imdb.com/name/nm0908919/
Fred_Zinnemann	Artist	http://dbpedia.org/resource/Fred_Zinnemann	http://www.imdb.com/name/nm0003593/
George_Peppard	Artist	http://dbpedia.org/resource/George_Peppard	http://www.imdb.com/name/nm0000577/
Gregory_Peck	Artist	http://dbpedia.org/resource/Gregory_Peck	http://www.imdb.com/name/nm0000060/
Henry_Fonda	Artist	http://dbpedia.org/resource/Henry_Fonda	http://www.imdb.com/name/nm0000020/
How_the_West_Was_Won	Movie	http://dbpedia.org/resource/How_the_West_Was_Won_(film)	http://www.imdb.com/title/tt0056085/
How_to_Steal_a_Million	Movie	http://dbpedia.org/resource/How_to_Steal_a_Million	http://www.imdb.com/title/tt0060522/
Ian_McLellan_Hunter	Artist	http://dbpedia.org/resource/Ian_McLellan_Hunter	http://www.imdb.com/name/nm0402848/
Robert_Swink	Artist	http://dbpedia.org/resource/Robert_Swink	http://www.imdb.com/name/nm0842732/
Roman_Holiday	Movie	http://dbpedia.org/resource/Roman_Holiday	http://www.imdb.com/title/tt0046250/
Sabrina	Movie	http://dbpedia.org/resource/Sabrina_(1954_film)	http://www.imdb.com/title/tt0047437/
The_Big_Country	Movie	http://dbpedia.org/resource/The_Big_Country	http://www.imdb.com/title/tt0051411/
The_Blue_and_the_Gray	Movie	http://dbpedia.org/resource/The_Blue_and_the_Gray_(miniseries)	http://www.imdb.com/title/tt0083387/
The_Children's_Hour	Movie	http://dbpedia.org/resource/The_Children's_Hour_(film)	http://www.imdb.com/title/tt0054743/
The_Dick_Powell_Show	Movie	http://dbpedia.org/resource/The_Dick_Powell_Show	http://www.imdb.com/title/tt0054532/
The_Nun's_Story	Movie	http://dbpedia.org/resource/The_Nun's_Story_(film)	http://www.imdb.com/title/tt0053131/
Wait_Until_Dark	Movie	http://dbpedia.org/resource/Wait_Until_Dark_(film)	http://www.imdb.com/title/tt0062467/
War_and_Peace	Movie	http://dbpedia.org/resource/War_and_Peace_(1956_film)	http://www.imdb.com/title/tt0049934/
William_Wyler	Artist	http://dbpedia.org/resource/William_Wyler	http://www.imdb.com/name/nm0943758/
