CODE	TYPE	DBPEDIA_URI	LAST.FM_URI
John_Bettis	Artist	http://dbpedia.org/resource/John_Bettis	https://www.last.fm/music/John+Bettis
Paul_Jackson,_Jr.	Artist	http://dbpedia.org/resource/Paul_Jackson_Jr.	https://www.last.fm/music/Paul+Jackson+Jr.
Siedah_Garrett	Artist	http://dbpedia.org/resource/Siedah_Garrett	https://www.last.fm/music/Siedah+Garrett
Peter_Mokran	Artist	http://dbpedia.org/resource/Peter_Mokran	https://www.last.fm/music/Peter+Mokran
Michael_Jackson	Artist	http://dbpedia.org/resource/Michael_Jackson	https://www.last.fm/music/Michael+Jackson
Simon_Franglen	Artist	http://dbpedia.org/page/Simon_Franglen	https://www.last.fm/music/Simon+Franglen
Whitney_Houston	Artist	http://dbpedia.org/resource/Whitney_Houston	https://www.last.fm/music/Whitney+Houston
Christina_Aguilera	Artist	http://dbpedia.org/resource/Christina_Aguilera	https://www.last.fm/music/Christina+Aguilera
Omar_Hakim	Artist	http://dbpedia.org/resource/Omar_Hakim	https://www.last.fm/music/Omar+Hakim
Madonna_(entertainer)	Artist	http://dbpedia.org/resource/Madonna_(entertainer)	https://www.last.fm/music/Madonna
Keith_Harris_(record_producer)	Artist	http://dbpedia.org/resource/Keith_Harris_(record_producer)	https://www.last.fm/music/Keith+Harris
Keith_Uddin	Artist	http://dbpedia.org/resource/Keith_Uddin	https://www.last.fm/music/KU
Daft_Punk	Artist	http://dbpedia.org/resource/Daft_Punk	https://www.last.fm/music/Daft+Punk
Diane_Warren	Artist	http://dbpedia.org/resource/Diane_Warren	https://www.last.fm/music/Diane+Warren
