CODE	TYPE	DBPEDIA_URI	LAST.FM_URI
Forever_(Drake_song)	Song	http://dbpedia.org/resource/Forever_(Drake_song)	https://www.last.fm/music/Drake/_/Forever
D12_World	Album	http://dbpedia.org/resource/D12_World	https://www.last.fm/music/D12/D12+World
Dr._Dre	Artist	http://dbpedia.org/resource/Dr._Dre	https://www.last.fm/music/Dr.+Dre
The_Way_I_Am_(Knoc-turn'al_album)	Album	http://dbpedia.org/resource/The_Way_I_Am_(Knoc-turn%27al_album)	https://www.last.fm/music/KNOC-TURN%27AL/The+Way+I+Am
Che_Pope	Artist	http://dbpedia.org/resource/Che_Pope	https://www.last.fm/music/Che+Pope
The_Game_(rapper)	Artist	http://dbpedia.org/resource/The_Game_(rapper)	https://www.last.fm/music/The+Game
Akon	Artist	http://dbpedia.org/resource/Akon	https://www.last.fm/music/Akon
The_Black_Album_(Jay_Z_album)	Album	http://dbpedia.org/resource/The_Black_Album_(Jay-Z_album)	https://www.last.fm/music/Jay+Z/The+Black+Album
Kanye_West	Artist	http://dbpedia.org/resource/Kanye_West	https://www.last.fm/music/Kanye+West
Skipp_Whitman	Artist	http://dbpedia.org/resource/Skipp_Whitman	https://www.last.fm/music/Skipp+Whitman
Kiss_of_Death_(Jadakiss_album)	Album	http://dbpedia.org/resource/Kiss_of_Death_(Jadakiss_album)	https://www.last.fm/music/Jadakiss/Kiss+Of+Death
The_Blueprint	Album	http://dbpedia.org/resource/The_Blueprint	https://www.last.fm/music/Eminem/The+Blueprint
Dylan_Wissing	Artist	http://dbpedia.org/resource/Dylan_Wissing	https://www.last.fm/music/Dylan+Wissing
Eminem	Artist	http://dbpedia.org/resource/Eminem	https://www.last.fm/music/Eminem
Kingdom_Come_(Jay_Z_album)	Album	http://dbpedia.org/resource/Kingdom_Come_(Jay-Z_album)	https://www.last.fm/music/Jay+Z/Kingdom+Come
The_Documentary	Album	http://dbpedia.org/resource/The_Documentary	https://www.last.fm/music/The+Game/The+Documentary
The_Streetsweeper,_Vol._2	Album	http://dbpedia.org/resource/The_Streetsweeper,_Vol._2	https://www.last.fm/music/DJ+Kay+Slay/The+Streetsweeper,+Vol.+2
L.A._Confidential_presents:_Knoc-turn'al	Album	http://dbpedia.org/resource/L.A._Confidential_presents:_Knoc-turn%27al	https://www.last.fm/music/KNOC-TURN%27AL/L.A.+Confidential+Presents
Greatest_Hits_(Jay-Z_album)	Album	http://dbpedia.org/resource/Greatest_Hits_(Jay-Z_album)	https://www.last.fm/music/Jay-Z/Greatest+Hits
Hip_Hop_Is_Dead	Album	http://dbpedia.org/resource/Hip_Hop_Is_Dead	https://www.last.fm/music/Nas/Hip+Hop+Is+Dead
