CODE	TYPE	DBPEDIA_URI	LAST.FM_URI
2_Chainz	Artist	http://dbpedia.org/resource/2_Chainz	https://www.last.fm/music/2+Chainz
Thank_You_(Busta_Rhymes_song)	Song	http://dbpedia.org/resource/Thank_You_(Busta_Rhymes_song)	https://www.last.fm/music/Busta+Rhymes/_/Thank+You
The_Game_(rapper)	Artist	http://dbpedia.org/resource/The_Game_(rapper)	https://www.last.fm/music/The+Game
Forever_(Drake_song)	Song	http://dbpedia.org/resource/Forever_(Drake_song)	https://www.last.fm/music/Drake/_/Forever
Eminem	Artist	http://dbpedia.org/resource/Eminem	https://www.last.fm/music/Eminem
Kanye_West	Artist	http://dbpedia.org/resource/Kanye_West	https://www.last.fm/music/Kanye+West
StreetRunner	Artist	http://dbpedia.org/resource/REVISAR	https://www.last.fm/music/StreetRunner
Mercy_(GOOD_Music_song)	Song	http://dbpedia.org/resource/Mercy_(GOOD_Music_song)	https://www.last.fm/music/Kanye+West/_/Mercy
Birthday_Song_(2_Chainz_song)	Song	http://dbpedia.org/resource/Birthday_Song_(2_Chainz_song)	https://www.last.fm/music/2+Chainz/_/Birthday+Song
DJ_Felli_Fel	Artist	http://dbpedia.org/resource/DJ_Felli_Fel	https://www.last.fm/music/DJ+Felli+Fel
Lil_Wayne	Artist	http://dbpedia.org/resource/Lil_Wayne	https://www.last.fm/music/+noredirect/Lil+Wayne
Akon	Artist	http://dbpedia.org/resource/Akon	https://www.last.fm/music/Akon
