CODE	TYPE	DBPEDIA_URI	LAST.FM_URI
Come_and_Get_It_(Badfinger_song)__Come_and_Get_It__1	Song	http://dbpedia.org/resource/Come_and_Get_It_(Badfinger_song)__Come_and_Get_It__1	https://www.last.fm/music/The+Beatles/_/Come+and+Get+It
Heather_(song)	Song	http://dbpedia.org/resource/Heather_(song)	https://www.last.fm/music/Paul+McCartney/_/Heather
Revolution_9	Artist	http://dbpedia.org/resource/Revolution_9	https://www.last.fm/music/REVOLUTION+9
Dig_It_(Beatles_song)	Song	http://dbpedia.org/resource/Dig_It_(Beatles_song)	https://www.last.fm/music/The+Beatles/_/Dig+It
What_Goes_On_(Beatles_song)	Song	http://dbpedia.org/resource/What_Goes_On_(Beatles_song)	https://www.last.fm/music/The+Beatles/_/What+Goes+On
Flying_(Beatles_instrumental)	Song	http://dbpedia.org/resource/Flying_(Beatles_instrumental)	https://www.last.fm/music/The+Beatles/_/Flying
The_Beatles_at_Shea_Stadium	Album	http://dbpedia.org/resource/The_Beatles_at_Shea_Stadium	https://www.last.fm/music/The+Beatles/The+Beatles+At+Shea+Stadium
Don't_Pass_Me_By	Song	http://dbpedia.org/resource/Don%27t_Pass_Me_By	https://www.last.fm/music/The+Beatles/_/Don%27t+Pass+Me+By
John_Kosh	Artist	http://dbpedia.org/resource/John_Kosh	https://www.last.fm/music/Kosh
Thinking_of_Linking	Song	http://dbpedia.org/resource/Thinking_of_Linking	https://www.last.fm/music/The+Beatles/_/thinking+of+linking
Free_as_a_Bird	Song	http://dbpedia.org/resource/Free_as_a_Bird	https://www.last.fm/music/The+Beatles/_/Free+as+a+Bird
Come_and_Get_It_(Badfinger_song)	Song	http://dbpedia.org/resource/Come_and_Get_It_(Badfinger_song)	https://www.last.fm/music/Badfinger/_/Come+And+Get+It
Christmas_Time_(Is_Here_Again)	Song	http://dbpedia.org/resource/Christmas_Time_(Is_Here_Again)	https://www.last.fm/music/The+Beatles/_/Christmas+Time
1_(Beatles_album)	Album	http://dbpedia.org/resource/1_(Beatles_album)	https://www.last.fm/music/The+Beatles/1
Anthology_2	Album	http://dbpedia.org/resource/Anthology_2	https://www.last.fm/music/The+Beatles/Anthology+2
Step_Inside_Love	Song	http://dbpedia.org/resource/Step_Inside_Love	https://www.last.fm/music/Cilla+Black/_/Step+Inside+Love
Ringo_Starr	Artist	http://dbpedia.org/resource/Ringo_Starr	https://www.last.fm/music/Ringo+Starr
Birthday_(Beatles_song)	Song	http://dbpedia.org/resource/Birthday_(Beatles_song)	https://www.last.fm/music/The+Beatles/_/Birthday
12-Bar_Original	Song	http://dbpedia.org/resource/12-Bar_Original	https://www.last.fm/music/The+Beatles/_/12-Bar+Original
The_Quarrymen	Artist	http://dbpedia.org/resource/The_Quarrymen	https://www.last.fm/music/The+Quarrymen
The_Beatles	Artist	http://dbpedia.org/resource/The_Beatles	https://www.last.fm/music/The+Beatles
Paul_McCartney	Artist	http://dbpedia.org/resource/Paul_McCartney	https://www.last.fm/music/Paul+McCartney
All_Together_Now_(film)	Album	http://dbpedia.org/resource/All_Together_Now_(film)	https://www.last.fm/music/The+Beatles/All+together+now
Her_Majesty_(song)	Song	http://dbpedia.org/resource/Her_Majesty_(song)	https://www.last.fm/music/The+Beatles/_/Her+Majesty
The_Beatles_Anthology_(documentary)	Album http://dbpedia.org/resource/The_Beatles_Anthology_(documentary) https://www.last.fm/music/The+Beatles/The+Beatles+Anthology+(documentary)
Cayenne_(instrumental)	Song	http://dbpedia.org/resource/Cayenne_(instrumental)	https://www.last.fm/music/The+Beatles/_/Cayenne
George_Martin	Artist	http://dbpedia.org/resource/George_Martin	https://www.last.fm/music/George+Martin
Now_and_Then_(John_Lennon_song)	Song	http://dbpedia.org/resource/Now_and_Then_(John_Lennon_song)	https://www.last.fm/music/The+Beatles/_/Now+and+Then
Octopus's_Garden	Song	http://dbpedia.org/resource/Octopus%27s_Garden	https://www.last.fm/music/The+Beatles/_/Octopus%27s+Garden
Help!_(song)	Song	http://dbpedia.org/resource/Help!_(song)	https://www.last.fm/music/The+Beatles/_/Help%21
