CODE	TYPE	DBPEDIA_URI	LAST.FM_URI
Minutes_to_Midnight_(album)	Album	http://dbpedia.org/resource/Minutes_to_Midnight_(Linkin_Park_album)	https://www.last.fm/music/Linkin+Park/Minutes+to+Midnight
Kanye_West	Artist	http://dbpedia.org/resource/Kanye_West	https://www.last.fm/music/Kanye+West
Jay_Z	Artist	http://dbpedia.org/resource/Jay_Z	https://www.last.fm/music/+noredirect/JAY+Z
A_Thousand_Suns	Album	http://dbpedia.org/resource/A_Thousand_Suns	https://www.last.fm/music/Linkin+Park/A+Thousand+Suns
Breaking_the_Habit	Song	http://dbpedia.org/resource/Breaking_the_Habit	https://www.last.fm/music/Linkin+Park/_/Breaking+the+Habit
Linkin_Park	Artist	http://dbpedia.org/resource/Linkin_Park	https://www.last.fm/music/Linkin+Park
Encore	Album	http://dbpedia.org/resource/Encore	https://www.last.fm/music/Eminem/Encore
Talib_Kweli	Artist	http://dbpedia.org/resource/Talib_Kweli	https://www.last.fm/music/Talib+Kweli
What_I've_Done	Song	http://dbpedia.org/resource/What_I%27ve_Done	https://www.last.fm/music/Linkin+Park/_/What+I%27ve+Done
Z-Trip	Artist	http://dbpedia.org/resource/Z-Trip	https://www.last.fm/music/DJ+Z-Trip
Rick_Rubin	Artist	http://dbpedia.org/resource/Rick_Rubin	https://www.last.fm/music/Rick+Rubin
Living_Things_(Linkin_Park_album)	Album	http://dbpedia.org/resource/Living_Things_(Linkin_Park_album)	https://www.last.fm/music/Linkin+Park/Living+Things
