CODE	TYPE	DBPEDIA_URI	LAST.FM_URI
Genesis_(band)	Artist	http://dbpedia.org/resource/Genesis_(band)	https://www.last.fm/music/Genesis
The_Lamb_Lies_Down_on_Broadway_(song)	Song	http://dbpedia.org/resource/The_Lamb_Lies_Down_on_Broadway_(song)	https://www.last.fm/music/Genesis/_/The+Lamb+Lies+Down+on+Broadway
Nik_Kershaw	Artist	http://dbpedia.org/resource/Nik_Kershaw	https://www.last.fm/music/Nik+Kershaw
Peter_Gabriel	Artist	http://dbpedia.org/resource/Peter_Gabriel	https://www.last.fm/music/Peter+Gabriel
Phil_Collins	Artist	http://dbpedia.org/resource/Phil_Collins	https://www.last.fm/music/Phil+Collins
Watcher_of_the_Skies	Song	http://dbpedia.org/resource/Watcher_of_the_Skies	https://www.last.fm/music/Genesis/_/Watcher+of+the+Skies
Firth_of_Fifth	Song	http://dbpedia.org/resource/Firth_of_Fifth	https://www.last.fm/music/Genesis/_/Firth+of+Fifth
Can-Utility_and_the_Coastliners	Song	http://dbpedia.org/resource/Can-Utility_and_the_Coastliners	https://www.last.fm/music/Genesis/_/Can-Utility+and+the+Coastliners
Get_'Em_Out_by_Friday	Song	http://dbpedia.org/resource/Get_%27Em_Out_by_Friday	https://www.last.fm/music/Genesis/_/Get+%27em+Out+by+Friday
Seven_Stones_(song)	Song	http://dbpedia.org/resource/Seven_Stones_(song)	https://www.last.fm/music/Genesis/_/Seven+Stones
The_Musical_Box_(Genesis_song)	Song	http://dbpedia.org/resource/The_Musical_Box_(Genesis_song)	https://www.last.fm/music/Genesis/_/The+Musical+Box
Chester_Thompson	Artist	http://dbpedia.org/resource/Chester_Thompson	https://www.last.fm/music/Chester+Thompson
The_Carpet_Crawlers	Song	http://dbpedia.org/resource/The_Carpet_Crawlers	https://www.last.fm/music/Genesis/_/The+Carpet+Crawlers
Turn_It_On_Again:_The_Hits	Album	http://dbpedia.org/resource/Turn_It_On_Again:_The_Hits	https://www.last.fm/music/Genesis/Turn+It+On+Again
Supper's_Ready	Song	http://dbpedia.org/resource/Supper%27s_Ready	https://www.last.fm/music/Genesis/_/Supper%27s+Ready
Steve_Hackett	Artist	http://dbpedia.org/resource/Steve_Hackett	https://www.last.fm/music/Steve+Hackett
