CODE	TYPE	DBPEDIA_URI	LAST.FM_URI
Stuart_Epps	Artist	http://dbpedia.org/resource/Stuart_Epps	https://www.last.fm/music/Stuart+Epps
Whitney_Houston	Artist	http://dbpedia.org/resource/Whitney_Houston	https://www.last.fm/music/Whitney+Houston
Phil_Palmer	Artist	http://dbpedia.org/resource/Phil_Palmer	https://www.last.fm/music/Phil+Palmer
Runaway_Train_(Elton_John_and_Eric_Clapton_song)	Song	http://dbpedia.org/resource/Runaway_Train_(Elton_John_and_Eric_Clapton_song)	https://www.last.fm/music/Elton+John/_/Runaway+Train
Kanye_West	Artist	http://dbpedia.org/resource/Kanye_West	https://www.last.fm/music/Kanye+West
Ray_Cooper	Artist	http://dbpedia.org/resource/Ray_Cooper	https://www.last.fm/music/Ray+Cooper
Don't_Let_the_Sun_Go_Down_on_Me	Song	http://dbpedia.org/resource/Don%27t_Let_the_Sun_Go_Down_on_Me	https://www.last.fm/music/Elton+John/_/Don%27t+Let+the+Sun+Go+Down+on+Me
Elton_John	Artist	http://dbpedia.org/resource/Elton_John	https://www.last.fm/music/Elton+John
George_Michael	Artist	http://dbpedia.org/resource/George_Michael	https://www.last.fm/music/George+Michael
Dionne_Warwick	Artist	http://dbpedia.org/resource/Dionne_Warwick	https://www.last.fm/music/Dionne+Warwick
Robbie_Williams	Artist	http://dbpedia.org/resource/Robbie_Williams	https://www.last.fm/music/Robbie+Williams
Pet_Shop_Boys	Artist	http://dbpedia.org/resource/Pet_Shop_Boys	https://www.last.fm/music/Pet+Shop+Boys
Eric_Clapton	Artist	http://dbpedia.org/resource/Eric_Clapton	https://www.last.fm/music/Eric+Clapton
Good_Morning_(Kanye_West_song)	Song	http://dbpedia.org/resource/Good_Morning_(Kanye_West_song)	https://www.last.fm/music/Kanye+West/_/Good+Morning
Matt_Colton	Artist	http://dbpedia.org/resource/Matt_Colton	https://www.last.fm/music/Matt+Colton
Freedom!_'90	Song	http://dbpedia.org/resource/Freedom!_%2790	https://www.last.fm/music/George+Michael/_/Freedom%21+%2790
