CODE	TYPE	DBPEDIA_URI	LAST.FM_URI
Faces_(band)	Artist	http://dbpedia.org/resource/Faces_(band)	https://www.last.fm/music/Faces
Glyn_Johns	Artist	http://dbpedia.org/resource/Glyn_Johns	https://www.last.fm/music/Glyn+Johns
Led_Zeppelin	Artist	http://dbpedia.org/resource/Led_Zeppelin	https://www.last.fm/music/Led+Zeppelin
The_Who	Artist	http://dbpedia.org/resource/The_Who	https://www.last.fm/music/The+Who
The_Beatles	Artist	http://dbpedia.org/resource/The_Beatles	https://www.last.fm/music/The+Beatles
The_Rolling_Stones	Artist	http://dbpedia.org/resource/The_Rolling_Stones	https://www.last.fm/music/The+Rolling+Stones
John_Entwistle	Artist	http://dbpedia.org/resource/John_Entwistle	https://www.last.fm/music/John+Entwistle
Ian_Stewart_(musician)	Artist	http://dbpedia.org/resource/Ian_Stewart_(musician)	https://www.last.fm/music/Ian+Stewart
Billy_Nicholls	Artist	http://dbpedia.org/resource/Billy_Nicholls	https://www.last.fm/music/Billy+Nicholls
Richard_Cole	Artist	http://dbpedia.org/resource/Richard_Cole	https://www.last.fm/music/Richard+Cole
Twist_and_Shout	Song	http://dbpedia.org/resource/Twist_and_Shout	https://www.last.fm/music/The+Beatles/_/Twist+and+Shout
