CODE	TYPE	DBPEDIA_URI	LAST.FM_URI
Will.i.am	Artist	http://dbpedia.org/resource/Will.i.am	https://www.last.fm/music/will.i.am
Rihanna	Artist	http://dbpedia.org/resource/Rihanna	https://www.last.fm/music/Rihanna
David_Guetta	Artist	http://dbpedia.org/resource/David_Guetta	https://www.last.fm/music/David+Guetta
Sean_Anthony_(rapper)	Artist	http://dbpedia.org/resource/Sean_Anthony_(rapper)	https://www.last.fm/music/Sean+Anthony
Akon	Artist	http://dbpedia.org/resource/Akon	https://www.last.fm/music/Akon
Eminem	Artist	http://dbpedia.org/resource/Eminem	https://www.last.fm/music/Eminem
Monster_(Kanye_West_song)	Song	http://dbpedia.org/resource/Monster_(Kanye_West_song)	https://www.last.fm/music/Kanye+West/_/Monster
Kanye_West	Artist	http://dbpedia.org/resource/Kanye_West	https://www.last.fm/music/Kanye+West
Chris_Brown	Artist	http://dbpedia.org/resource/Chris_Brown	https://www.last.fm/music/Chris+Brown
Bitch_Better_Have_My_Money	Song	http://dbpedia.org/resource/Bitch_Better_Have_My_Money	https://www.last.fm/music/Rihanna/_/Bitch+Better+Have+My+Money
Nicki_Minaj	Artist	http://dbpedia.org/resource/Nicki_Minaj	https://www.last.fm/music/Nicki+Minaj
