ID	NAME_PATH	SCORE
1	"Jay_Z @associatedActs Linkin_Park @musicalArtist Encore writer Kanye_West"	116112762.25
2	"Jay_Z @associatedActs Linkin_Park @musicalBand Encore writer Kanye_West"	116112762.25
3	"Jay_Z @associatedBand Linkin_Park @musicalArtist Encore writer Kanye_West"	116112762.25
4	"Jay_Z @associatedMusicalArtist Linkin_Park @musicalBand Encore writer Kanye_West"	116112762.25
5	"Jay_Z @associatedMusicalArtist Linkin_Park @musicalArtist Encore writer Kanye_West"	116112762.25
6	"Jay_Z @associatedBand Linkin_Park @musicalBand Encore writer Kanye_West"	116112762.25
7	"Jay_Z @associatedActs Linkin_Park @associatedActs Rick_Rubin associatedMusicalArtist Kanye_West"	113746058.25
8	"Jay_Z @associatedActs Linkin_Park @associatedMusicalArtist Rick_Rubin associatedBand Kanye_West"	113746058.25
9	"Jay_Z @associatedMusicalArtist Linkin_Park @associatedActs Rick_Rubin associatedMusicalArtist Kanye_West"	113746058.25
10	"Jay_Z @associatedMusicalArtist Linkin_Park @associatedMusicalArtist Rick_Rubin associatedMusicalArtist Kanye_West"	113746058.25
11	"Jay_Z @associatedBand Linkin_Park @associatedBand Rick_Rubin associatedMusicalArtist Kanye_West"	113746058.25
12	"Jay_Z @associatedMusicalArtist Linkin_Park @associatedBand Rick_Rubin associatedBand Kanye_West"	113746058.25
13	"Jay_Z @associatedActs Linkin_Park @artist Minutes_to_Midnight_(album) producer Rick_Rubin associatedActs Kanye_West"	99298800.6
14	"Jay_Z @associatedActs Linkin_Park @artist Minutes_to_Midnight_(album) producer Rick_Rubin associatedBand Kanye_West"	99298800.6
15	"Jay_Z @associatedBand Linkin_Park @artist Minutes_to_Midnight_(album) producer Rick_Rubin associatedActs Kanye_West"	99298800.6
16	"Jay_Z @associatedMusicalArtist Linkin_Park @artist Minutes_to_Midnight_(album) producer Rick_Rubin associatedActs Kanye_West"	99298800.6
17	"Jay_Z @associatedActs Linkin_Park @artist Minutes_to_Midnight_(album) producer Rick_Rubin associatedMusicalArtist Kanye_West"	99298800.6
18	"Jay_Z @associatedBand Linkin_Park @artist Minutes_to_Midnight_(album) producer Rick_Rubin associatedMusicalArtist Kanye_West"	99298800.6
19	"Jay_Z @associatedBand Linkin_Park @artist Minutes_to_Midnight_(album) producer Rick_Rubin associatedBand Kanye_West"	99298800.6
20	"Jay_Z @associatedMusicalArtist Linkin_Park @artist Minutes_to_Midnight_(album) producer Rick_Rubin associatedBand Kanye_West"	99298800.6
21	"Jay_Z @associatedMusicalArtist Linkin_Park @artist Minutes_to_Midnight_(album) producer Rick_Rubin associatedMusicalArtist Kanye_West"	99298800.6
22	"Jay_Z @associatedActs Linkin_Park @artist A_Thousand_Suns producer Rick_Rubin associatedActs Kanye_West"	94485113.4
23	"Jay_Z @associatedBand Linkin_Park @artist A_Thousand_Suns producer Rick_Rubin associatedActs Kanye_West"	94485113.4
24	"Jay_Z @associatedMusicalArtist Linkin_Park @artist A_Thousand_Suns producer Rick_Rubin associatedMusicalArtist Kanye_West"	94485113.4
25	"Jay_Z @associatedActs Linkin_Park @musicalArtist What_I've_Done previousWork Encore writer Kanye_West"	94440403.4
