ID	NAME_PATH	SCORE
1	"Elton_John @writer Good_Morning_(Kanye_West_song) artist Kanye_West @associatedBand Matt_Colton associatedMusicalArtist George_Michael"	50725039.8
2	"Elton_John @writer Good_Morning_(Kanye_West_song) artist Kanye_West @associatedMusicalArtist Matt_Colton associatedBand George_Michael"	50725039.8
3	"Elton_John @writer Good_Morning_(Kanye_West_song) artist Kanye_West @associatedMusicalArtist Matt_Colton associatedMusicalArtist George_Michael"	50725039.8
4	"Elton_John @writer Good_Morning_(Kanye_West_song) producer Kanye_West @associatedMusicalArtist Matt_Colton associatedMusicalArtist George_Michael"	50725039.8
5	"Elton_John @writer Good_Morning_(Kanye_West_song) writer Kanye_West @associatedMusicalArtist Matt_Colton associatedBand George_Michael"	50725039.8
6	"Elton_John @writer Good_Morning_(Kanye_West_song) writer Kanye_West @associatedBand Matt_Colton associatedMusicalArtist George_Michael"	50725039.8
7	"Elton_John @associatedActs George_Michael"	30746403.5
8	"Elton_John @associatedMusicalArtist George_Michael"	30746403.5
9	"Elton_John @associatedBand George_Michael"	30746403.5
10	"Elton_John @associatedMusicalArtist Pet_Shop_Boys @associatedMusicalArtist Robbie_Williams @musicalArtist Freedom!_'90 musicalBand George_Michael"	26339078
11	"Elton_John @associatedBand Pet_Shop_Boys associatedMusicalArtist Robbie_Williams @musicalBand Freedom!_'90 artist George_Michael"	26339078
12	"Elton_John @associatedMusicalArtist Pet_Shop_Boys associatedMusicalArtist Robbie_Williams @musicalBand Freedom!_'90 writer George_Michael"	26339078
13	"Elton_John @associatedBand Pet_Shop_Boys @associatedMusicalArtist Robbie_Williams @artist Freedom!_'90 producer George_Michael"	26339078
14	"Elton_John @associatedBand Ray_Cooper associatedActs Eric_Clapton @associatedBand Phil_Palmer associatedActs George_Michael"	21754970.4
15	"Elton_John @associatedBand Ray_Cooper associatedActs Eric_Clapton @associatedMusicalArtist Phil_Palmer associatedBand George_Michael"	21754970.4
16	"Elton_John @associatedBand Ray_Cooper associatedActs Eric_Clapton @associatedBand Phil_Palmer associatedMusicalArtist George_Michael"	21754970.4
17	"Elton_John @associatedBand Ray_Cooper associatedActs Eric_Clapton @associatedBand Phil_Palmer associatedBand George_Michael"	21754970.4
18	"Elton_John @associatedBand Ray_Cooper associatedActs Eric_Clapton @associatedMusicalArtist Phil_Palmer associatedMusicalArtist George_Michael"	21754970.4
