CODE	TYPE	DBPEDIA_URI	IMDB_URI
A_Kiss_Before_Dying	Movie	http://dbpedia.org/resource/A_Kiss_Before_Dying_(1956_film)	http://www.imdb.com/title/tt0049414/
Dede_Allen	Artist	http://dbpedia.org/resource/Dede_Allen	http://www.imdb.com/name/nm0020441/
Elmer_Bernstein	Artist	http://dbpedia.org/resource/Elmer_Bernstein	http://www.imdb.com/name/nm0000930/
Empire_Falls	Movie	http://dbpedia.org/resource/Empire_Falls_(miniseries)	http://www.imdb.com/title/tt0376591/
Exodus	Movie	http://dbpedia.org/resource/Exodus_(1960_film)	http://www.imdb.com/title/tt0053804/
From_the_Terrace	Movie	http://dbpedia.org/resource/From_the_Terrace	http://www.imdb.com/title/tt0053841/
Hombre	Movie	http://dbpedia.org/resource/Hombre_(film)	http://www.imdb.com/title/tt0061770/
Hud	Movie	http://dbpedia.org/resource/Hud_(1963_film)	http://www.imdb.com/title/tt0057163/
Irving_Ravetch	Artist	http://dbpedia.org/resource/Irving_Ravetch	http://www.imdb.com/name/nm0712419/
James_Naughton	Artist	http://dbpedia.org/resource/James_Naughton	http://www.imdb.com/name/nm0622553/
Jerry_Goldsmith	Artist	http://dbpedia.org/resource/Jerry_Goldsmith	http://www.imdb.com/name/nm0000025/
Jerry_Wald	Artist	http://dbpedia.org/resource/Jerry_Wald	http://www.imdb.com/name/nm0907003/
Joanne_Woodward	Artist	http://dbpedia.org/resource/Joanne_Woodward	http://www.imdb.com/name/nm0940946/
Joseph_LaShelle	Artist	http://dbpedia.org/resource/Joseph_LaShelle	http://www.imdb.com/name/nm0005766/
King:_A_Filmed_Record..._Montgomery_to_Memphis	Movie	http://dbpedia.org/resource/King:_A_Filmed_Record..._Montgomery_to_Memphis	http://www.imdb.com/title/tt0065944/
Lee_J._Cobb	Artist	http://dbpedia.org/resource/Lee_J._Cobb	http://www.imdb.com/name/nm0002011/
Lionel_Newman	Artist	http://dbpedia.org/resource/Lionel_Newman	http://www.imdb.com/name/nm0006213/
Louis_R._Loeffler	Artist	http://dbpedia.org/resource/Louis_R._Loeffler	http://www.imdb.com/name/nm0517264/
Martin_Ritt	Artist	http://dbpedia.org/resource/Martin_Ritt	http://www.imdb.com/name/nm0728688/
No_Down_Payment	Movie	http://dbpedia.org/resource/No_Down_Payment	http://www.imdb.com/title/tt0050771/
Our_Town	Movie	http://dbpedia.org/resource/Our_Town_(2003_film)	http://www.imdb.com/title/tt0353849/
Paris_Blues	Movie	http://dbpedia.org/resource/Paris_Blues	http://www.imdb.com/title/tt0055278/
Paul_Newman	Artist	http://dbpedia.org/resource/Paul_Newman	http://www.imdb.com/name/nm0000056/
Rachel,_Rachel	Movie	http://dbpedia.org/resource/Rachel,_Rachel	http://www.imdb.com/title/tt0063483/
Richard_Russo	Artist	http://dbpedia.org/resource/Richard_Russo	http://www.imdb.com/name/nm0751720/
Stewart_Stern	Artist	http://dbpedia.org/resource/Stewart_Stern	http://www.imdb.com/name/nm0827856/
Sybil	Movie	http://dbpedia.org/resource/Sybil_(1976_film)	http://www.imdb.com/title/tt0075296/
The_Age_of_Innocence	Movie	http://dbpedia.org/resource/The_Age_of_Innocence_(1993_film)	http://www.imdb.com/title/tt0106226/
The_Effect_of_Gamma_Rays_on_Man-in-the-Moon_Marigolds	Movie	http://dbpedia.org/resource/The_Effect_of_Gamma_Rays_on_Man-in-the-Moon_Marigolds_(film)	http://www.imdb.com/title/tt0068528/
The_Glass_Menagerie	Movie	http://dbpedia.org/resource/The_Glass_Menagerie_(1987_film)	http://www.imdb.com/title/tt0093093/
The_Hustler	Movie	http://dbpedia.org/resource/The_Hustler_(film)	http://www.imdb.com/title/tt0054997/
The_Long,_Hot_Summer	Movie	http://dbpedia.org/resource/The_Long,_Hot_Summer	http://www.imdb.com/title/tt0051878/
The_Prize	Movie	http://dbpedia.org/resource/The_Prize_(1963_film)	http://www.imdb.com/title/tt0057426/
The_Sound_and_the_Fury	Movie	http://dbpedia.org/resource/The_Sound_and_the_Fury_(1959_film)	http://www.imdb.com/title/tt0053298/
The_Stripper	Movie	http://dbpedia.org/resource/The_Stripper_(film)	http://www.imdb.com/title/tt0057537/
The_Three_Faces_of_Eve	Movie	http://dbpedia.org/resource/The_Three_Faces_of_Eve	http://www.imdb.com/title/tt0051077/
Twilight	Movie	http://dbpedia.org/resource/Twilight_(1998_film)	http://www.imdb.com/title/tt011959/
