CODE	TYPE	DBPEDIA_URI	IMDB_URI
Albert_Akst	Artist	http://dbpedia.org/resource/Albert_Akst	http://www.imdb.com/name/nm0015573/
Arthur_Freed	Artist	http://dbpedia.org/resource/Arthur_Freed	http://www.imdb.com/name/nm0006085/
Babes_on_Broadway	Movie	http://dbpedia.org/resource/Babes_on_Broadway	http://www.imdb.com/title/tt0034485/
Boys_Town	Movie	http://dbpedia.org/resource/Boys_Town_(film)	http://www.imdb.com/title/tt0029942/
Easter_Parade	Movie	http://dbpedia.org/resource/Easter_parade_(film)	http://www.imdb.com/title/tt0040308/
George_Bassman	Artist	http://dbpedia.org/resource/George_Bassman	http://www.imdb.com/name/nm0005956/
Georgie_Stoll	Artist	http://dbpedia.org/resource/Georgie_Stoll	http://www.imdb.com/name/nm4735525/
Girl_Crazy	Movie	http://dbpedia.org/resource/Girl_Crazy_(1943_film)	http://www.imdb.com/title/tt0035942/
Herbert_Stothart	Artist	http://dbpedia.org/resource/Herbert_Stothart	http://www.imdb.com/name/nm0006307/
In_the_Good_Old_Summertime	Movie	http://dbpedia.org/resource/In_the_Good_Old_Summertime	http://www.imdb.com/title/tt0041507/
Joe_Pasternak	Artist	http://dbpedia.org/resource/Joe_Pasternak	http://www.imdb.com/name/nm0664990/
Judgment_at_Nuremberg	Movie	http://dbpedia.org/resource/Judgment_at_Nuremberg	http://www.imdb.com/title/tt0055031/
Judy_Garland	Artist	http://dbpedia.org/resource/Judy_Garland	http://www.imdb.com/name/nm0000023/
Life_Begins_for_Andy_Hardy	Movie	http://dbpedia.org/resource/Life_Begins_for_Andy_Hardy	http://www.imdb.com/title/tt0033832/
Meet_Me_in_St._Louis	Movie	http://dbpedia.org/resource/Meet_Me_in_St._Louis	http://www.imdb.com/title/tt0037059/
Mickey_Rooney	Artist	http://dbpedia.org/resource/Mickey_Rooney	http://www.imdb.com/name/nm0001682/
National_Velvet	Movie	http://dbpedia.org/resource/National_Velvet_(film)	http://www.imdb.com/title/tt0037120/
Pandro_S._Berman	Artist	http://dbpedia.org/resource/Pandro_S._Berman	http://www.imdb.com/name/nm0075825/
Presenting_Lily_Mars	Movie	http://dbpedia.org/resource/Presenting_Lily_Mars	http://www.imdb.com/title/tt0036275/
Spencer_Tracy	Artist	http://dbpedia.org/resource/Spencer_Tracy	http://www.imdb.com/name/nm0000075/
Strike_Up_the_Band	Movie	http://dbpedia.org/resource/Strike_Up_the_Band_(film)	http://www.imdb.com/title/tt0033110/
Summer_Stock	Movie	http://dbpedia.org/resource/Summer_Stock	http://www.imdb.com/title/tt0043012/
The_Clock	Movie	http://dbpedia.org/resource/The_Clock_(1945_film)	http://www.imdb.com/title/tt0037604/
The_Human_Comedy	Movie	http://dbpedia.org/resource/The_Human_Comedy_(film)	http://www.imdb.com/title/tt0036022/
The_Strip	Movie	http://dbpedia.org/resource/The_Strip_(1951_film)	http://www.imdb.com/title/tt0044083/
The_Wizard_of_Oz	Movie	http://dbpedia.org/resource/The_Wizard_of_Oz_(1939_film)	http://www.imdb.com/title/tt0032138/
Vincente_Minnelli	Artist	http://dbpedia.org/resource/Vincente_Minnelli	http://www.imdb.com/name/nm0591486/
Ziegfeld_Girl	Movie	http://dbpedia.org/resource/Ziegfeld_girl_(film)	http://www.imdb.com/title/tt0034415/
