CODE	TYPE	DBPEDIA_URI	IMDB_URI
Alfred_Hitchcock	Artist	http://dbpedia.org/resource/Alfred_Hitchcock	http://www.imdb.com/name/nm0000033/
Dial_M_for_Murder	Movie	http://dbpedia.org/resource/Dial_M_for_Murder	http://www.imdb.com/title/tt0046912/
Dimitri_Tiomkin	Artist	http://dbpedia.org/resource/Dimitri_Tiomkin	http://www.imdb.com/name/nm0006323/
Franz_Waxman	Artist	http://dbpedia.org/resource/Franz_Waxman	http://www.imdb.com/name/nm0000077/
George_Tomasini	Artist	http://dbpedia.org/resource/George_Tomasini	http://www.imdb.com/name/nm0866462/
Grace_Kelly	Artist	http://dbpedia.org/resource/Grace_Kelly	http://www.imdb.com/name/nm0000038/
North_by_Northwest	Movie	http://dbpedia.org/resource/North_by_Northwest	http://www.imdb.com/title/tt0053125/
Psycho	Movie	http://dbpedia.org/resource/Psycho_(1960_film)	http://www.imdb.com/title/tt0054215/
Ray_Milland	Artist	http://dbpedia.org/resource/Ray_Milland	http://www.imdb.com/name/nm0001537/
Rear_Window	Movie	http://dbpedia.org/resource/Rear_Window	http://www.imdb.com/title/tt0047396/
Rebecca	Movie	http://dbpedia.org/resource/Rebecca_(1940_film)	http://www.imdb.com/title/tt0032976/
Robert_Burks	Artist	http://dbpedia.org/resource/Robert_Burks	http://www.imdb.com/name/nm0122079/
Strangers_on_a_Train	Movie	http://dbpedia.org/resource/Strangers_on_a_Train_(film)	http://www.imdb.com/title/tt0044079/
Suspicion	Movie	http://dbpedia.org/resource/Suspicion_(1941_film)	http://www.imdb.com/title/tt0034248/
The_Birds	Movie	http://dbpedia.org/resource/Birds_(film)	http://www.imdb.com/title/tt0056869/
The_Wrong_Man	Movie	http://dbpedia.org/resource/The_Wrong_Man	http://www.imdb.com/title/tt0051207/
To_Catch_a_Thief	Movie	http://dbpedia.org/resource/To_Catch_a_Thief	http://www.imdb.com/title/tt0048728/
Vertigo	Movie	http://dbpedia.org/resource/Vertigo_(film)	http://www.imdb.com/title/tt0052357/
