CODE	TYPE	DBPEDIA_URI	IMDB_URI
21_Days	Movie	http://dbpedia.org/resource/21_Days	http://www.imdb.com/title/tt0032179/
49th_Parallel	Movie	http://dbpedia.org/resource/49th_parallel_(film)	http://www.imdb.com/title/tt0033627/
A_Yank_at_Oxford	Movie	http://dbpedia.org/resource/A_Yank_at_Oxford	http://www.imdb.com/title/tt0030989/
Alexander_Korda	Artist	http://dbpedia.org/resource/Alexander_Korda	http://www.imdb.com/name/nm0466099/
Anna_Karenina	Movie	http://dbpedia.org/resource/Anna_Karenina_(1948_film)	http://www.imdb.com/title/tt0040098/
Anthony_Havelock-Allan	Artist	http://dbpedia.org/resource/Anthony_Havelock-Allan	http://www.imdb.com/name/nm0369743/
Battle_of_Britain	Movie	http://dbpedia.org/resource/Battle_of_Britain_(film)	http://www.imdb.com/title/tt0064072/
Caesar_and_Cleopatra	Movie	http://dbpedia.org/resource/Caesar_and_Cleopatra_(film)	http://www.imdb.com/title/tt0038390/
David_Copperfield	Movie	http://dbpedia.org/resource/David_Copperfield_(1969_film)	http://www.imdb.com/title/tt0065615/
David_O._Selznick	Artist	http://dbpedia.org/resource/David_O._Selznick	http://www.imdb.com/name/nm0006388/
Fire_Over_England	Movie	http://dbpedia.org/resource/Fire_Over_England	http://www.imdb.com/title/tt0028872/
Friends_and_Lovers	Movie	http://dbpedia.org/resource/Friends_and_Lovers_(1931_film)	http://www.imdb.com/title/tt0021889/
Gentlemen's_Agreement	Movie	http://dbpedia.org/resource/Gentlemen%27s_agreement_(film)	http://www.imdb.com/title/tt0026402/
Gone_with_the_Wind	Movie	http://dbpedia.org/resource/Gone_with_the_Wind_(film)	http://www.imdb.com/title/tt0031381/
Henry_V	Movie	http://dbpedia.org/resource/Henry_V_(1944_film)	http://www.imdb.com/title/tt0036910/
Herbert_Stothart	Artist	http://dbpedia.org/resource/Herbert_Stothart	http://www.imdb.com/name/nm0006307/
Ian_Dalrymple	Artist	http://dbpedia.org/resource/Ian_Dalrymple	http://www.imdb.com/name/nm7458906/
Jack_Hildyard	Artist	http://dbpedia.org/resource/Jack_Hildyard	http://www.imdb.com/name/nm0005742/
Khartoum	Movie	http://dbpedia.org/resource/Khartoum_(film)	http://www.imdb.com/title/tt0060588/
Laurence_Olivier	Artist	http://dbpedia.org/resource/Laurence_Olivier	http://www.imdb.com/name/nm0000059/
Leslie_Howard	Artist	http://dbpedia.org/resource/Leslie_Howard_(actor)	http://www.imdb.com/name/nm0001366/
Malcolm_Arnold	Artist	http://dbpedia.org/resource/Malcolm_Arnold	http://www.imdb.com/name/nm0002185/
Max_Steiner	Artist	http://dbpedia.org/resource/Max_Steiner	http://www.imdb.com/name/nm0000070/
Michael_Hogan	Artist	http://dbpedia.org/resource/Michael_Hogan_(screenwriter)	http://www.imdb.com/name/nm0389580/
Oh!_What_a_Lovely_War	Movie	http://dbpedia.org/resource/Oh!_What_a_Lovely_War	http://www.imdb.com/title/tt0064754/
Othello	Movie	http://dbpedia.org/resource/Othello_(1965_film)	http://www.imdb.com/title/tt0059555/
Pride_and_Prejudice	Movie	http://dbpedia.org/resource/Pride_and_Prejudice_(1940_film)	http://www.imdb.com/title/tt0032943/
Ralph_Richardson	Artist	http://dbpedia.org/resource/Ralph_Richardson	http://www.imdb.com/name/nm0724732/
Rebecca	Movie	http://dbpedia.org/resource/Rebecca_(1940_film)	http://www.imdb.com/title/tt0032976/
Richard_III	Movie	http://dbpedia.org/resource/Richard_III__(1955_film)	http://www.imdb.com/title/tt0049674/
Romeo_and_Juliet	Movie	http://dbpedia.org/resource/Romeo_and_Juliet_(1968_film)	http://www.imdb.com/title/tt0063518/
Storm_in_a_Teacup	Movie	http://dbpedia.org/resource/Storm_in_a_Teacup_(film)	http://www.imdb.com/title/tt0029611/
That_Hamilton_Woman	Movie	http://dbpedia.org/resource/That_Hamilton_Woman	http://www.imdb.com/title/tt0034272/
The_Deep_Blue_Sea	Movie	http://dbpedia.org/resource/Deep_Blue_Sea_(1955_film)	http://www.imdb.com/title/tt0047978/
The_Devil's_Disciple	Movie	http://dbpedia.org/resource/The_Devil's_Disciple_(1959_film)	http://www.imdb.com/title/tt0052735/
The_Divorce_of_Lady_X	Movie	http://dbpedia.org/resource/The_Divorce_of_Lady_X	http://www.imdb.com/title/tt0030063/
The_Village_Squire	Movie	http://dbpedia.org/resource/The_Village_Squire	http://www.imdb.com/title/tt0027175/
This_Happy_Breed	Movie	http://dbpedia.org/resource/This_Happy_Breed_(film)	http://www.imdb.com/title/tt0037367/
Vivien_Leigh	Artist	http://dbpedia.org/resource/Vivien_Leigh	http://www.imdb.com/name/nm0000046/
Wagner	Movie	http://dbpedia.org/resource/Wagner_(film)	http://www.imdb.com/title/tt0085107/
Waterloo_Bridge	Movie	http://dbpedia.org/resource/Waterloo_Bridge_(1940_film)	http://www.imdb.com/title/tt0033238/
Words_for_Battle	Movie	http://dbpedia.org/resource/Words_for_Battle	http://www.imdb.com/title/tt0034401/
