CODE	TYPE	DBPEDIA_URI	IMDB_URI
A_Midsummer_Night's_Dream	Movie	http://dbpedia.org/resource/A_Midsummer_Night's_Dream_(1935_film)	http://www.imdb.com/title/tt0026714/
Big_City_Blues    Movie   http://dbpedia.org/resource/Big_City_Blues_(1932_film)        http://www.imdb.com/title/tt0022676/
Blonde_Crazy	Movie	http://dbpedia.org/resource/Blonde_Crazy	http://www.imdb.com/title/tt0021673/
Boy_Meets_Girl	Movie	http://dbpedia.org/resource/Boy_Meets_Girl_(1938_film)	http://www.imdb.com/title/tt0029940/
Bullets_or_Ballots	Movie	http://dbpedia.org/resource/Bullets_or_Ballots	http://www.imdb.com/title/tt0027407/
Busby_Berkeley	Artist	http://dbpedia.org/resource/Busby_Berkeley	http://www.imdb.com/name/nm0000923/
Central_Park	Movie	http://dbpedia.org/resource/Central_Park_(film)	http://www.imdb.com/title/tt0022751/
Come_Fill_the_Cup	Movie	http://dbpedia.org/resource/Come_Fill_the_Cup	http://www.imdb.com/title/tt0043424/
Convention_City	Movie	http://dbpedia.org/resource/Convention_City	http://www.imdb.com/title/tt0023906/
Dames	Movie	http://dbpedia.org/resource/Dames	http://www.imdb.com/title/tt0025028/
Dick_Powell	Artist	http://dbpedia.org/resource/Dick_Powell	http://www.imdb.com/name/nm0694090/
Each_Dawn_I_Die	Movie	http://dbpedia.org/resource/Each_Dawn_I_Die	http://www.imdb.com/title/tt0031260/
Footlight_Parade	Movie	http://dbpedia.org/resource/Footlight_Parade	http://www.imdb.com/title/tt0024028/
Hal_B._Wallis	Artist	http://dbpedia.org/resource/Hal_B._Wallis	http://www.imdb.com/name/nm0909259/
Hal_Mohr	Artist	http://dbpedia.org/resource/Hal_Mohr	http://www.imdb.com/name/nm0005803/
Heinz_Roemheld	Artist	http://dbpedia.org/resource/Heinz_Roemheld	http://www.imdb.com/name/nm0006257/
Henry_Blanke	Artist	http://dbpedia.org/resource/Henry_Blanke	http://www.imdb.com/name/nm0087533/
James_Cagney	Artist	http://dbpedia.org/resource/James_Cagney	http://www.imdb.com/name/nm0000010/
Jimmy_the_Gent	Movie	http://dbpedia.org/resource/Jimmy_the_Gent_(film)	http://www.imdb.com/title/tt0025330/
Joan_Blondell	Artist	http://dbpedia.org/resource/Joan_Blondell	http://www.imdb.com/name/nm0000951/
John_G._Adolfi	Artist	http://dbpedia.org/resource/John_G._Adolfi	http://www.imdb.com/name/nm0012317/
Kubec_Glasmon	Artist	http://dbpedia.org/resource/Kubec_Glasmon	http://www.imdb.com/name/nm0321891/
Lady_Killer	Movie	http://dbpedia.org/resource/Lady_Killer_(1933_film)	http://www.imdb.com/title/tt0024239/
Lloyd_Bacon	Artist	http://dbpedia.org/resource/Lloyd_Bacon	http://www.imdb.com/name/nm0045800/
Off_the_Record	Movie	http://dbpedia.org/resource/Off_the_record	http://www.imdb.com/title/tt0031743/
Pat_O'Brien	Artist	http://dbpedia.org/resource/Pat_O'Brien_(actor)	http://www.imdb.com/name/nm0002285/
Ray_Heindorf	Artist	http://dbpedia.org/resource/Ray_Heindorf	http://www.imdb.com/name/nm0006127/
Robert_Lord	Artist	http://dbpedia.org/resource/Robert_Lord	http://www.imdb.com/name/nm0520501/
Samuel_Bischoff	Artist	http://dbpedia.org/resource/Samuel_Bischoff	http://www.imdb.com/name/nm0083900/
Sol_Polito	Artist	http://dbpedia.org/resource/Sol_Polito	http://www.imdb.com/name/nm0005835/
Stage_Struck	Movie	http://dbpedia.org/resource/Stage_Struck_(1936_film)	http://www.imdb.com/title/tt0028305/
Taxi!	Movie	http://dbpedia.org/resource/Taxi!	http://www.imdb.com/title/tt0023556/
The_Bride_Came_C.O.D.	Movie	http://dbpedia.org/resource/The_Bride_Came_C.O.D.	http://www.imdb.com/title/tt0033432/
The_Millionaire	Movie	http://dbpedia.org/resource/The_Millionaire_(1931_film)	http://www.imdb.com/title/tt0022151/
The_Public_Enemy	Movie	http://dbpedia.org/resource/The_Public_Enemy	http://www.imdb.com/title/tt0022286/
The_Roaring_Twenties	Movie	http://dbpedia.org/resource/The_Roaring_Twenties	http://www.imdb.com/title/tt0031867/
Thomas_Richards	Artist	http://dbpedia.org/resource/Thomas_Richards_(film_editor)	http://www.imdb.com/name/nm0724360/
Three_on_a_Match	Movie	http://dbpedia.org/resource/Three_on_a_Match	http://www.imdb.com/title/tt0023590/
Winner_Take_All	Movie	http://dbpedia.org/resource/Winner_takes_all_(1932_film)	http://www.imdb.com/title/tt0023701/
Yankee_Doodle_Dandy	Movie	http://dbpedia.org/resource/Yankee_Doodle_Dandy	http://www.imdb.com/title/tt0035575/
