ID	NAME_PATH	SCORE
1	"Myrna_Loy @starring The_Thin_Man musicComposer William_Axt @musicComposer Libeled_Lady starring Jean_Harlow"	6.825116
2	"Myrna_Loy @starring The_Thin_Man musicComposer William_Axt @music Libeled_Lady starring Jean_Harlow"	6.825116
3	"Myrna_Loy @starring The_Thin_Man music William_Axt @musicComposer Libeled_Lady starring Jean_Harlow"	6.825116
4	"Myrna_Loy @starring The_Thin_Man music William_Axt @music Libeled_Lady starring Jean_Harlow"	6.825116
5	"Myrna_Loy @starring The_Thin_Man musicComposer William_Axt @musicComposer Dinner_at_Eight starring Jean_Harlow"	6.805116
6	"Myrna_Loy @starring The_Thin_Man musicComposer William_Axt @music Dinner_at_Eight starring Jean_Harlow"	6.805116
7	"Myrna_Loy @starring The_Thin_Man music William_Axt @musicComposer Dinner_at_Eight starring Jean_Harlow"	6.805116
8	"Myrna_Loy @starring The_Thin_Man music William_Axt @music Dinner_at_Eight starring Jean_Harlow"	6.805116
9	"Myrna_Loy @starring Libeled_Lady musicComposer William_Axt @musicComposer Dinner_at_Eight starring Jean_Harlow"	6.765116
10	"Myrna_Loy @starring Libeled_Lady musicComposer William_Axt @music Dinner_at_Eight starring Jean_Harlow"	6.765116
11	"Myrna_Loy @starring The_Thin_Man starring William_Powell @starring Libeled_Lady starring Jean_Harlow"	6.585846
12	"Myrna_Loy @starring Libeled_Lady starring Spencer_Tracy @starring Riffraff starring Jean_Harlow"	6.492946
13	"Myrna_Loy @starring Men_in_White musicComposer William_Axt @musicComposer Libeled_Lady starring Jean_Harlow"	6.485116
14	"Myrna_Loy @starring Men_in_White musicComposer William_Axt @music Libeled_Lady starring Jean_Harlow"	6.485116
15	"Myrna_Loy @starring Men_in_White music William_Axt @musicComposer Libeled_Lady starring Jean_Harlow"	6.485116
16	"Myrna_Loy @starring Men_in_White music William_Axt @music Libeled_Lady starring Jean_Harlow"	6.485116
17	"Myrna_Loy @starring Men_in_White musicComposer William_Axt @musicComposer Dinner_at_Eight starring Jean_Harlow"	6.465116
18	"Myrna_Loy @starring Men_in_White musicComposer William_Axt @music Dinner_at_Eight starring Jean_Harlow"	6.465116
19	"Myrna_Loy @starring Men_in_White music William_Axt @musicComposer Dinner_at_Eight starring Jean_Harlow"	6.465116
20	"Myrna_Loy @starring Men_in_White music William_Axt @music Dinner_at_Eight starring Jean_Harlow"	6.465116
21	"Myrna_Loy @starring Night_Flight producer David_O._Selznick @producer Dinner_at_Eight starring Jean_Harlow"	6.453018
