CODE	TYPE	DBPEDIA_URI	LAST.FM_URI
Bob_Dylan	Artist	http://dbpedia.org/resource/Bob_Dylan	https://www.last.fm/music/Bob+Dylan
Blood_on_the_Tracks	Album	http://dbpedia.org/resource/Blood_on_the_Tracks	https://www.last.fm/music/Bob+Dylan/Blood+on+the+Tracks
This_Wheel's_on_Fire	Song	http://dbpedia.org/resource/This_Wheel%27s_on_Fire	https://www.last.fm/music/Siouxsie+and+the+Banshees/_/This+Wheel%27s+on+Fire
Desire_(Bob_Dylan_album)	Album	http://dbpedia.org/resource/Desire_(Bob_Dylan_album)	https://www.last.fm/music/Bob+Dylan/Desire
Robbie_Robertson	Artist	http://dbpedia.org/resource/Robbie_Robertson	https://www.last.fm/music/Robbie+Robertson
Dylan_(2007_album)	Album	http://dbpedia.org/resource/Dylan_(2007_album)	https://www.last.fm/music/Bob+Dylan/Dylan
Bob_Dylan's_Greatest_Hits_Vol._II	Album	http://dbpedia.org/resource/Bob_Dylan%27s_Greatest_Hits_Vol._II	https://www.last.fm/music/Bob+Dylan/Bob+Dylan%27s+Greatest+Hits+Vol.+II
The_Basement_Tapes	Album	http://dbpedia.org/resource/The_Basement_Tapes	https://www.last.fm/music/Bob+Dylan/The+Basement+Tapes
When_I_Paint_My_Masterpiece	Song	http://dbpedia.org/resource/When_I_Paint_My_Masterpiece	https://www.last.fm/music/The+Band/_/When+I+Paint+My+Masterpiece
Levon_Helm	Artist	http://dbpedia.org/resource/Levon_Helm	https://www.last.fm/music/Levon+Helm
I_Shall_Be_Released	Song	http://dbpedia.org/resource/I_Shall_Be_Released	https://www.last.fm/music/Bob+Dylan/_/I+Shall+Be+Released
Rob_Fraboni	Artist	http://dbpedia.org/resource/Rob_Fraboni	https://www.last.fm/music/Rob+Fraboni
Rick_Danko	Artist	http://dbpedia.org/resource/Rick_Danko	https://www.last.fm/music/Rick+Danko
The_Band	Artist	http://dbpedia.org/resource/The_Band	https://www.last.fm/music/The+Band
