CODE	TYPE	DBPEDIA_URI	LAST.FM_URI
Eagles_(band)	Artist	http://dbpedia.org/resource/Eagles_(band)	https://www.last.fm/music/Eagles
Eric_Clapton	Artist	http://dbpedia.org/resource/Eric_Clapton	https://www.last.fm/music/Eric+Clapton
Don_Henley	Artist	http://dbpedia.org/resource/Don_Henley	https://www.last.fm/music/Don+Henley
Dave_Carlock	Artist	http://dbpedia.org/resource/Dave_Carlock	https://www.last.fm/music/Dave
Fleetwood_Mac	Artist	http://dbpedia.org/resource/Fleetwood_Mac	https://www.last.fm/music/Fleetwood+Mac
Jackson_Browne	Artist	http://dbpedia.org/resource/Jackson_Browne	https://www.last.fm/music/Jackson+Browne
Rick_Vito	Artist	http://dbpedia.org/resource/Rick_Vito	https://www.last.fm/music/Rick+Vito
Warren_Zevon	Artist	http://dbpedia.org/resource/Warren_Zevon	https://www.last.fm/music/Warren+Zevon
Jorge_Calderón	Artist	http://dbpedia.org/resource/Jorge_Calder%C3%B3n	https://www.last.fm/music/Jorge+Calder%C3%B3n
Ian_Wallace_(drummer)	Artist	http://dbpedia.org/resource/Ian_Wallace_(drummer)	https://www.last.fm/music/Ian+Wallace
Stevie_Nicks	Artist	http://dbpedia.org/resource/Stevie_Nicks	https://www.last.fm/music/Stevie+Nicks
