CODE	TYPE	DBPEDIA_URI	LAST.FM_URI
I_Wanna_Be_Your_Man	Song	http://dbpedia.org/resource/I_Wanna_Be_Your_Man	https://www.last.fm/music/The+Beatles/_/I+Wanna+Be+Your+Man
John_Lennon	Artist	http://dbpedia.org/resource/John_Lennon	https://www.last.fm/music/John+Lennon
Paul_McCartney	Artist	http://dbpedia.org/resource/Paul_McCartney	https://www.last.fm/music/Paul+McCartney
Robert_Fitzpatrick	Artist	http://dbpedia.org/resource/Robert_Fitzpatrick	https://www.last.fm/music/Robert+Fitzpatrick
Not_Fade_Away_(song)	Song	http://dbpedia.org/resource/Not_Fade_Away_(song)	https://www.last.fm/music/The+Rolling+Stones/_/Not+Fade+Away
John_Kosh	Artist	http://dbpedia.org/resource/John_Kosh	https://www.last.fm/music/Kosh
Ray_Cooper	Artist	http://dbpedia.org/resource/Ray_Cooper	https://www.last.fm/music/Ray+Cooper
Ronnie_Schneider	Artist	http://dbpedia.org/resource/Ronnie_Schneider	 https://www.last.fm/music/Ronnie+Schneider
The_Beatles	Artist	http://dbpedia.org/resource/The_Beatles	https://www.last.fm/music/The+Beatles
George_Harrison	Artist	http://dbpedia.org/resource/George_Harrison	https://www.last.fm/music/George+Harrison
The_Rolling_Stones	Artist	http://dbpedia.org/resource/The_Rolling_Stones	https://www.last.fm/music/The+Rolling+Stones
The_Dirty_Mac	Artist	http://dbpedia.org/resource/The_Dirty_Mac	https://www.last.fm/music/The+Dirty+Mac
Traveling_Wilburys	Artist	http://dbpedia.org/resource/Traveling_Wilburys	https://www.last.fm/music/Traveling+Wilburys
