CODE	TYPE	DBPEDIA_URI	LAST.FM_URI
Richard_Wright_(musician)	Artist	http://dbpedia.org/resource/Richard_Wright_(musician)	https://www.last.fm/music/Richard+Wright
Breathe_(Pink_Floyd_song)	Song	http://dbpedia.org/resource/Breathe_(Pink_Floyd_song)	https://www.last.fm/music/Pink+Floyd/_/Breathe
Learning_to_Fly_(Pink_Floyd_song)	Song	http://dbpedia.org/resource/Learning_to_Fly_(Pink_Floyd_song)	https://www.last.fm/music/Pink+Floyd/_/Learning+to+Fly
Ibiza_Bar	Song	http://dbpedia.org/resource/Ibiza_Bar	https://www.last.fm/music/Pink+Floyd/_/Ibiza+Bar
Goodbye_Cruel_World_(Pink_Floyd_song)	Song	http://dbpedia.org/resource/Goodbye_Cruel_World_(Pink_Floyd_song)	https://www.last.fm/music/Pink+Floyd/_/Goodbye+Cruel+World
The_Wall	Album	http://dbpedia.org/resource/The_Wall	https://www.last.fm/music/Pink+Floyd/The+Wall
Time_(Pink_Floyd_song)	Song	http://dbpedia.org/resource/Time_(Pink_Floyd_song)	https://www.last.fm/music/Pink+Floyd/_/Time
The_Division_Bell	Album	http://dbpedia.org/resource/The_Division_Bell	https://www.last.fm/music/Pink+Floyd/The+Division+Bell
Pink_Floyd	Artist	http://dbpedia.org/resource/Pink_Floyd	https://www.last.fm/music/Pink+Floyd
Willie_Wilson_(drummer)	Artist	http://dbpedia.org/resource/Willie_Wilson_(drummer)	https://www.last.fm/music/Willie+Wilson
Louder_than_Words_(Pink_Floyd_song)	Song	http://dbpedia.org/resource/Louder_than_Words_(Pink_Floyd_song)	https://www.last.fm/music/Pink+Floyd/_/Louder+Than+Words
Comfortably_Numb	Song	http://dbpedia.org/resource/Comfortably_Numb	https://www.last.fm/music/Pink+Floyd/_/Comfortably+Numb
David_Gilmour	Artist	http://dbpedia.org/resource/David_Gilmour	https://www.last.fm/music/David+Gilmour
Wish_You_Were_Here_(Pink_Floyd_song)	Song	http://dbpedia.org/resource/Wish_You_Were_Here_(Pink_Floyd_song)	https://www.last.fm/music/Pink+Floyd/_/Wish+You+Were+Here
Round_and_Around_(Pink_Floyd_song)	Song	http://dbpedia.org/resource/Round_and_Around_(Pink_Floyd_song)	https://www.last.fm/music/Pink+Floyd/_/Round+and+Around
One_of_These_Days_(instrumental)	Song	http://dbpedia.org/resource/One_of_These_Days_(instrumental)	https://www.last.fm/music/Pink+Floyd/_/One+of+These+Days
What_Do_You_Want_from_Me_(Pink_Floyd_song)	Song	http://dbpedia.org/resource/What_Do_You_Want_from_Me_(Pink_Floyd_song)	https://www.last.fm/music/Pink+Floyd/_/What+Do+You+Want+from+Me
