CODE	TYPE	DBPEDIA_URI	LAST.FM_URI
Justin_Meldal-Johnsen	Artist	http://dbpedia.org/resource/Justin_Meldal-Johnsen	https://www.last.fm/music/Justin+Meldal-Johnsen
Dave_Navarro	Artist	http://dbpedia.org/resource/Dave_Navarro	https://www.last.fm/music/Dave+Navarro
Duff_McKagan	Artist	http://dbpedia.org/resource/Duff_McKagan	https://www.last.fm/music/Duff+McKagan
Dave_Kushner	Artist	http://dbpedia.org/resource/Dave_Kushner	https://www.last.fm/music/Dave+Kushner
Nine_Inch_Nails	Artist	http://dbpedia.org/resource/Nine_Inch_Nails	https://www.last.fm/music/Nine+Inch+Nails
Slash_(musician)	Artist	http://dbpedia.org/resource/Slash_(musician)	https://www.last.fm/music/Slash
Macy_Gray	Artist	http://dbpedia.org/resource/Macy_Gray	https://www.last.fm/music/Macy+Gray
Jane's_Addiction	Artist	http://dbpedia.org/resource/Jane%27s_Addiction	https://www.last.fm/music/Jane%27s+Addiction
Velvet_Revolver	Artist	http://dbpedia.org/resource/Velvet_Revolver	https://www.last.fm/music/Velvet+Revolver
Camp_Freddy	Artist	http://dbpedia.org/resource/Camp_Freddy	https://www.last.fm/music/Camp+Freddy
Guns_N'_Roses	Artist	http://dbpedia.org/resource/Guns_N%27_Roses	https://www.last.fm/music/Guns+N%27+Roses
