CODE	TYPE	DBPEDIA_URI	IMDB_URI
As_You_Like_It	Movie	http://dbpedia.org/resource/As_You_Like_It_(1936_film)	http://www.imdb.com/title/tt0027311/
Battle_of_Britain	Movie	http://dbpedia.org/resource/Battle_of_Britain_(film)	http://www.imdb.com/title/tt0064072/
Carrie	Movie	http://dbpedia.org/resource/Carrie_(1952_film)	http://www.imdb.com/title/tt0044486/
David_Copperfield	Movie	http://dbpedia.org/resource/David_Copperfield_(1969_film)	http://www.imdb.com/title/tt0065615/
Geoffrey_Unsworth	Artist	http://dbpedia.org/resource/Geoffrey_Unsworth	http://www.imdb.com/name/nm0005910/
John_Gielgud	Artist	http://dbpedia.org/resource/John_Gielgud	http://www.imdb.com/name/nm0000024/
Laurence_Olivier	Artist	http://dbpedia.org/resource/Laurence_Olivier	http://www.imdb.com/name/nm0000059/
Maggie_Smith	Artist	http://dbpedia.org/resource/Maggie_Smith	http://www.imdb.com/name/nm0001749/
Marathon_Man	Movie	http://dbpedia.org/resource/Marathon_Man	http://www.imdb.com/title/tt0074860/
Marthe_Keller	Artist	http://dbpedia.org/resource/Marthe_Keller	http://www.imdb.com/name/nm0445715/
Michael_Redgrave	Artist	http://dbpedia.org/resource/Michael_Redgrave	http://www.imdb.com/name/nm0714878/
Oh!_What_a_Lovely_War	Movie	http://dbpedia.org/resource/Oh!_What_a_Lovely_War	http://www.imdb.com/title/tt0064754/
Othello	Movie	http://dbpedia.org/resource/Othello_(1952_film)	http://www.imdb.com/title/tt0045251/
Outcast_of_the_Islands	Movie	http://dbpedia.org/resource/Outcast_of_the_Islands	http://www.imdb.com/title/tt0045002/
Peter_the_Great	Movie	http://dbpedia.org/resource/Peter_the_Great	http://www.imdb.com/title/tt0090502/
Ralph_Richardson	Artist	http://dbpedia.org/resource/Ralph_Richardson	http://www.imdb.com/name/nm0724732/
Richard_III	Movie	http://dbpedia.org/resource/Richard_III_(1955_film)	http://www.imdb.com/title/tt0049674/
The_300_Spartans	Movie	http://dbpedia.org/resource/The_300_Spartans	http://www.imdb.com/title/tt0055719/
The_Great_War	Movie	http://dbpedia.org/resource/The_Great_War_(documentary)	http://www.imdb.com/title/tt0057753/
The_Heiress	Movie	http://dbpedia.org/resource/The_Heiress	http://www.imdb.com/title/tt0041452/
The_Seven-Per-Cent_Solution	Movie	http://dbpedia.org/resource/The_Seven-Per-Cent_Solution_(film)	http://www.imdb.com/title/tt0075194/
The_Shoes_of_the_Fisherman	Movie	http://dbpedia.org/resource/The_Shoes_of_the_Fisherman	http://www.imdb.com/title/tt0063599/
Trevor_Howard	Artist	http://dbpedia.org/resource/Trevor_Howard	http://www.imdb.com/name/nm0002145/
Uncle_Vanya	Movie	http://dbpedia.org/resource/Uncle_Vanya_(1963_film)	http://www.imdb.com/title/tt0057620/
Vanessa_Redgrave	Artist	http://dbpedia.org/resource/Vanessa_Redgrave	http://www.imdb.com/name/nm0000603/
Vittorio_Storaro	Artist	http://dbpedia.org/resource/Vittorio_Storaro	http://www.imdb.com/name/nm0005886/
Wagner	Movie	http://dbpedia.org/resource/Wagner_(film)	http://www.imdb.com/title/tt0085107/
William_Walton	Artist	http://dbpedia.org/resource/William_Walton	http://www.imdb.com/name/nm0006338/
William_Wyler	Artist	http://dbpedia.org/resource/William_Wyler	http://www.imdb.com/name/nm0943758/
Wuthering_Heights	Movie	http://dbpedia.org/resource/Wuthering_Heights_(1939_film)	http://www.imdb.com/title/tt0032145/
