CODE	TYPE	DBPEDIA_URI	IMDB_URI
A_Letter_to_Three_Wives	Movie	http://dbpedia.org/resource/A_Letter_to_Three_Wives	http://www.imdb.com/title/tt0041587/
Ace_in_the_Hole	Movie	http://dbpedia.org/resource/Ace_in_the_Hole_(1951_film)	http://www.imdb.com/title/tt0043338/
Alfred_Newman	Artist	http://dbpedia.org/resource/Alfred_Newman_(composer)	http://www.imdb.com/name/nm0000055/
Ben_Hecht	Artist	http://dbpedia.org/resource/Ben_Hecht	http://www.imdb.com/name/nm0372942/
Charles_Lang	Artist	http://dbpedia.org/resource/Charles_Lang	http://www.imdb.com/name/nm0485702/
Detective_Story	Movie	http://dbpedia.org/resource/Detective_Story_(1951_film)	http://www.imdb.com/title/tt0043465/
Dick_Powell	Artist	http://dbpedia.org/resource/Dick_Powell	http://www.imdb.com/name/nm0694090/
Directed_by_John_Ford	Movie	http://dbpedia.org/resource/Directed_by_John_Ford	http://www.imdb.com/title/tt0066997/
Dudley_Nichols	Artist	http://dbpedia.org/resource/Dudley_Nichols	http://www.imdb.com/name/nm0629580/
Fort_Apache	Movie	http://dbpedia.org/resource/Fort_Apache_(film)	http://www.imdb.com/title/tt0040369/
Gunfight_at_the_O.K._Corral	Movie	http://dbpedia.org/resource/Gunfight_at_the_O.K._Corral_(film)	http://www.imdb.com/title/tt0050468/
Hondo	Movie	http://dbpedia.org/resource/Hondo_(film)	http://www.imdb.com/title/tt0045883/
How_the_West_Was_Won	Movie	http://dbpedia.org/resource/How_the_West_Was_Won_(film)	http://www.imdb.com/title/tt0056085/
Hugo_Friedhofer	Artist	http://dbpedia.org/resource/Hugo_Friedhofer	http://www.imdb.com/name/nm0006087/
In_Harm's_Way	Movie	http://dbpedia.org/resource/In_Harm%27s_Way	http://www.imdb.com/title/tt0059309/
John_Wayne	Artist	http://dbpedia.org/resource/John_Wayne	http://www.imdb.com/name/nm0000078/
Kirk_Douglas	Artist	http://dbpedia.org/resource/Kirk_Douglas	http://www.imdb.com/name/nm0000018/
Last_Train_from_Gun_Hill	Movie	http://dbpedia.org/resource/Last_Train_from_Gun_Hill	http://www.imdb.com/title/tt0052993/
Mourning_Becomes_Electra	Movie	http://dbpedia.org/resource/Mourning_Becomes_Electra_(film)	http://www.imdb.com/title/tt0039636/
North_to_Alaska	Movie	http://dbpedia.org/resource/North_to_Alaska	http://www.imdb.com/title/tt0054127/
Orson_Welles	Artist	http://dbpedia.org/resource/Orson_Welles	http://www.imdb.com/name/nm0000080/
Richard_Hageman	Artist	http://dbpedia.org/resource/Richard_Hageman	http://www.imdb.com/name/nm0006119/
Robert_Burks	Artist	http://dbpedia.org/resource/Robert_Burks	http://www.imdb.com/name/nm0122079/
Robert_Surtees	Artist	http://dbpedia.org/resource/Robert_Surtees_(cinematographer)	http://www.imdb.com/name/nm0005892/
Robert_Swink	Artist	http://dbpedia.org/resource/Robert_Swink	http://www.imdb.com/name/nm0842732/
Rooster_Cogburn	Movie	http://dbpedia.org/resource/Rooster_Cogburn_(film)	http://www.imdb.com/title/tt0073636/
She_Wore_a_Yellow_Ribbon	Movie	http://dbpedia.org/resource/She_Wore_a_Yellow_Ribbon	http://www.imdb.com/title/tt0041866/
Stagecoach	Movie	http://dbpedia.org/resource/Stagecoach_(1939_film)	http://www.imdb.com/title/tt0031971/
Strangers_When_We_Meet	Movie	http://dbpedia.org/resource/Strangers_When_We_Meet_(film)	http://www.imdb.com/title/tt0054345/
The_Arrangement	Movie	http://dbpedia.org/resource/The_Arrangement_(1969_film)	ttp://www.imdb.com/title/tt0064041/
The_Bad_and_the_Beautiful	Movie	http://dbpedia.org/resource/The_Bad_and_the_Beautiful	http://www.imdb.com/title/tt0044391/
The_Cowboys	Movie	http://dbpedia.org/resource/The_Cowboys	http://www.imdb.com/title/tt0068421/
The_Dick_Powell_Show	Movie	http://dbpedia.org/resource/The_Dick_Powell_Show	http://www.imdb.com/title/tt0054532/
The_Glass_Menagerie	Movie	http://dbpedia.org/resource/The_Glass_Menagerie_(1950_film)	http://www.imdb.com/title/tt0042509/
The_Man_Who_Shot_Liberty_Valance	Movie	http://dbpedia.org/resource/The_Man_Who_Shot_Liberty_Valance	http://www.imdb.com/title/tt0056217/
The_Vikings	Movie	http://dbpedia.org/resource/The_Viking_(1958_film)	http://www.imdb.com/title/tt0052365/
The_Walls_of_Jericho	Movie	http://dbpedia.org/resource/Walls_of_Jericho_(film)	http://www.imdb.com/title/tt0040949/
Ulysses	Movie	http://dbpedia.org/resource/Ulysses_(1954_film)	http://www.imdb.com/title/tt0047630/
