CODE	TYPE	DBPEDIA_URI	IMDB_URI
All_of_Me	Movie	http://dbpedia.org/resource/All_of_Me_(1934_film)	http://www.imdb.com/title/tt0024822/
Angel	Movie	http://dbpedia.org/resource/Angel_(1937_film)	http://www.imdb.com/title/tt0028575/
Charles_Lang	Artist	http://dbpedia.org/resource/Charles_Lang	http://www.imdb.com/name/nm0485702/
Cluny_Brown	Movie	http://dbpedia.org/resource/Cluny_Brown	http://www.imdb.com/title/tt0038419/
Design_for_Living	Movie	http://dbpedia.org/resource/Design_for_Living_(film)	http://www.imdb.com/title/tt0023940/
Desire	Movie	http://dbpedia.org/resource/Desire_(1936_film)	http://www.imdb.com/title/tt0027515/
Ernest_Vajda	Artist	http://dbpedia.org/resource/Ernest_Vajda	http://www.imdb.com/name/nm0883328/
Ernst_Lubitsch	Artist	http://dbpedia.org/resource/Ernst_Lubitsch	http://www.imdb.com/name/nm0523932/
Herbert_Marshall	Artist	http://dbpedia.org/resource/Herbert_Marshall	http://www.imdb.com/name/nm0003339/
Joseph_LaShelle	Artist	http://dbpedia.org/resource/Joseph_LaShelle	http://www.imdb.com/name/nm0005766/
Miriam_Hopkins	Artist	http://dbpedia.org/resource/Miriam_Hopkins	http://www.imdb.com/name/nm0394244/
Samson_Raphaelson	Artist	http://dbpedia.org/resource/Samson_Raphaelson	http://www.imdb.com/name/nm0710723/
The_Mating_Season	Movie	http://dbpedia.org/resource/The_Mating_Season_(film)	http://www.imdb.com/title/tt0043792/
The_Merry_Widow	Movie	http://dbpedia.org/resource/The_Merry_Widow_(1934_film)	http://www.imdb.com/title/tt0025493/
The_Outcasts_of_Poker_Flat	Movie	http://dbpedia.org/resource/The_Outcasts_of_Poker_Flat_(1952_film)	http://www.imdb.com/title/tt0045003/
The_Shop_Around_the_Corner	Movie	http://dbpedia.org/resource/The_Shop_Around_the_Corner	http://www.imdb.com/title/tt0033045/
The_Smiling_Lieutenant	Movie	http://dbpedia.org/resource/The_Smiling_Lieutenant	http://www.imdb.com/title/tt0022074/
Trouble_in_Paradise	Movie	http://dbpedia.org/resource/Trouble_in_Paradise	http://www.imdb.com/title/tt0023622/
Victor_Milner	Artist	http://dbpedia.org/resource/Victor_Milner	http://www.imdb.com/name/nm0005800/
