CODE	TYPE	DBPEDIA_URI	IMDB_URI
Bombshell	Movie	http://dbpedia.org/resource/Bombshell_(film)	http://www.imdb.com/title/tt0023825/
Chained	Movie	http://dbpedia.org/resource/Chained_(1934_film)	http://www.imdb.com/title/tt0024963/
China_Seas	Movie	http://dbpedia.org/resource/China_Seas_(film)	http://www.imdb.com/title/tt0026205/
Clarence_Brown	Artist	http://dbpedia.org/resource/Clarence_Brown	http://www.imdb.com/name/nm0113284/
Clark_Gable	Artist	http://dbpedia.org/resource/Clark_Gable	http://www.imdb.com/name/nm0000022/
David_O._Selznick	Artist	http://dbpedia.org/resource/David_O._Selznick	http://www.imdb.com/name/nm0006388/
Dinner_at_Eight	Movie	http://dbpedia.org/resource/Dinner_at_Eight_(film)	http://www.imdb.com/title/tt0023948/
George_J._Folsey	Artist	http://dbpedia.org/resource/George_J._Folsey	http://www.imdb.com/name/nm0005706/
Gone_with_the_Wind	Movie	http://dbpedia.org/resource/Gone_with_the_Wind_(film)	http://www.imdb.com/title/tt0031381/
Harold_Rosson	Artist	http://dbpedia.org/resource/Harold_Rosson	http://www.imdb.com/name/nm0005849/
Herbert_Stothart	Artist	http://dbpedia.org/resource/Herbert_Stothart	http://www.imdb.com/name/nm0006307/
Homecoming	Movie	http://dbpedia.org/resource/Homecoming_(1948_film)	http://www.imdb.com/title/tt0040446/
Irving_Thalberg	Artist	http://dbpedia.org/resource/Irving_Thalberg	http://www.imdb.com/name/nm0856921/
Jean_Harlow	Artist	http://dbpedia.org/resource/Jean_Harlow	http://www.imdb.com/name/nm0001318/
John_Lee_Mahin	Artist	http://dbpedia.org/resource/John_Lee_Mahin	http://www.imdb.com/name/nm0536941/
Libeled_Lady	Movie	http://dbpedia.org/resource/Libeled_Lady	http://www.imdb.com/title/tt0027884/
Margaret_Booth	Artist	http://dbpedia.org/resource/Margaret_Booth	http://www.imdb.com/name/nm0004290/
Men_in_White	Movie	http://dbpedia.org/resource/Men_in_White_(1934_film)	http://www.imdb.com/title/tt0025489/
Myrna_Loy       Artist  http://dbpedia.org/resource/Myrna_Loy   http://www.imdb.com/name/nm0001485/
Mutiny_on_the_Bounty	Movie	http://dbpedia.org/resource/Mutiny_on_the_Bounty_(1935_film)	http://www.imdb.com/title/tt0026752/
Night_Flight	Movie	http://dbpedia.org/resource/Night_Flight_(1933_film)	http://www.imdb.com/title/tt0024381/
Possessed	Movie	http://dbpedia.org/resource/Possessed_(1931_film)	http://www.imdb.com/title/tt0022276/
Reckless	Movie	http://dbpedia.org/resource/Reckless_(1935_film)	http://www.imdb.com/title/tt0026914/
Red-Headed_Woman	Movie	http://dbpedia.org/resource/Red-Headed_Woman	http://www.imdb.com/title/tt0023385/
Red_Dust	Movie	http://dbpedia.org/resource/Red_Dust	http://www.imdb.com/title/tt0023382/
Riffraff	Movie	http://dbpedia.org/resource/Riff_Raff_(1936_film)	http://www.imdb.com/title/tt0026932/
San_Francisco	Movie	http://dbpedia.org/resource/San_Francisco_(1936_film)	http://www.imdb.com/title/tt0028216/
Spencer_Tracy	Artist	http://dbpedia.org/resource/Spencer_Tracy	http://www.imdb.com/name/nm0000075/
Victor_Fleming	Artist	http://dbpedia.org/resource/Victor_Fleming	http://www.imdb.com/name/nm0281808/
Wife_vs._Secretary	Movie	http://dbpedia.org/resource/Wife_vs._Secretary	http://www.imdb.com/title/tt0028505/
William_Axt	Artist	http://dbpedia.org/resource/William_Axt	http://www.imdb.com/name/nm0002197/
