ID	NAME_PATH	SCORE
1	"James_Stewart @starring The_Man_Who_Shot_Liberty_Valance musicComposer Alfred_Newman @musicComposer My_Darling_Clementine starring Henry_Fonda"	6.291304
2	"James_Stewart @starring The_Man_Who_Shot_Liberty_Valance musicComposer Alfred_Newman @music My_Darling_Clementine starring Henry_Fonda"	6.291304
3	"James_Stewart @starring The_Man_Who_Shot_Liberty_Valance music Alfred_Newman @musicComposer My_Darling_Clementine starring Henry_Fonda"	6.291304
4	"James_Stewart @starring The_Man_Who_Shot_Liberty_Valance music Alfred_Newman @music My_Darling_Clementine starring Henry_Fonda"	6.291304
5	"James_Stewart @producer Rear_Window starring Thelma_Ritter @starring How_the_West_Was_Won starring Henry_Fonda"	6.151754
6	"James_Stewart @starring Rear_Window starring Thelma_Ritter @starring How_the_West_Was_Won starring Henry_Fonda"	6.151754
7	"James_Stewart @starring How_the_West_Was_Won musicComposer Alfred_Newman @musicComposer The_Grapes_of_Wrath starring Henry_Fonda"	6.151304
8	"James_Stewart @starring The_Man_Who_Shot_Liberty_Valance musicComposer Alfred_Newman @musicComposer How_the_West_Was_Won starring Henry_Fonda"	6.151304
9	"James_Stewart @starring The_Man_Who_Shot_Liberty_Valance musicComposer Alfred_Newman @music How_the_West_Was_Won starring Henry_Fonda"	6.151304
10	"James_Stewart @starring How_the_West_Was_Won musicComposer Alfred_Newman @music The_Grapes_of_Wrath starring Henry_Fonda"	6.151304
11	"James_Stewart @starring The_Man_Who_Shot_Liberty_Valance music Alfred_Newman @musicComposer How_the_West_Was_Won starring Henry_Fonda"	6.151304
12	"James_Stewart @starring How_the_West_Was_Won music Alfred_Newman @musicComposer The_Grapes_of_Wrath starring Henry_Fonda"	6.151304
13	"James_Stewart @starring How_the_West_Was_Won music Alfred_Newman @music The_Grapes_of_Wrath starring Henry_Fonda"	6.151304
14	"James_Stewart @starring The_Man_Who_Shot_Liberty_Valance music Alfred_Newman @music How_the_West_Was_Won starring Henry_Fonda"	6.151304
15	"James_Stewart @starring Harvey cinematography William_H._Daniels @cinematography How_the_West_Was_Won starring Henry_Fonda"	6.116698
16	"James_Stewart @starring The_Shop_Around_the_Corner cinematography William_H._Daniels @cinematography How_the_West_Was_Won starring Henry_Fonda"	6.116698
17	"James_Stewart @starring How_the_West_Was_Won starring Lee_J._Cobb @starring 12_Angry_Men producer Henry_Fonda"	6.091626
18	"James_Stewart @starring How_the_West_Was_Won starring Lee_J._Cobb @starring 12_Angry_Men starring Henry_Fonda"	6.091626
19	"James_Stewart @starring How_the_West_Was_Won musicComposer Alfred_Newman @musicComposer My_Darling_Clementine starring Henry_Fonda"	6.091304
