ID	NAME_PATH	SCORE
1	"Audrey_Hepburn @starring Roman_Holiday editing Robert_Swink @editing The_Big_Country producer Gregory_Peck"	6.542834
2	"Audrey_Hepburn @starring Roman_Holiday editing Robert_Swink @editing The_Big_Country starring Gregory_Peck"	6.542834
3	"Audrey_Hepburn @starring The_Children's_Hour editing Robert_Swink @editing Roman_Holiday starring Gregory_Peck"	6.522834
4	"Audrey_Hepburn @starring The_Children's_Hour editing Robert_Swink @editing The_Big_Country producer Gregory_Peck"	6.482834
5	"Audrey_Hepburn @starring The_Children's_Hour editing Robert_Swink @editing The_Big_Country starring Gregory_Peck"	6.482834
6	"Audrey_Hepburn @starring How_to_Steal_a_Million editing Robert_Swink @editing Roman_Holiday starring Gregory_Peck"	6.482834
7	"Audrey_Hepburn @starring Roman_Holiday director William_Wyler @director The_Big_Country producer Gregory_Peck"	6.405652
8	"Audrey_Hepburn @starring Roman_Holiday director William_Wyler @director The_Big_Country starring Gregory_Peck"	6.405652
9	"Audrey_Hepburn @starring Roman_Holiday producer William_Wyler @director The_Big_Country producer Gregory_Peck"	6.405652
10	"Audrey_Hepburn @starring Roman_Holiday director William_Wyler @producer The_Big_Country producer Gregory_Peck"	6.405652
11	"Audrey_Hepburn @starring Roman_Holiday director William_Wyler @producer The_Big_Country starring Gregory_Peck"	6.405652
12	"Audrey_Hepburn @starring Roman_Holiday producer William_Wyler @director The_Big_Country starring Gregory_Peck"	6.405652
13	"Audrey_Hepburn @starring Roman_Holiday producer William_Wyler @producer The_Big_Country producer Gregory_Peck"	6.405652
14	"Audrey_Hepburn @starring Roman_Holiday producer William_Wyler @producer The_Big_Country starring Gregory_Peck"	6.405652
15	"Audrey_Hepburn @starring The_Children's_Hour director William_Wyler @director Roman_Holiday starring Gregory_Peck"	6.385652
16	"Audrey_Hepburn @starring The_Children's_Hour producer William_Wyler @director Roman_Holiday starring Gregory_Peck"	6.385652
17	"Audrey_Hepburn @starring The_Children's_Hour director William_Wyler @producer Roman_Holiday starring Gregory_Peck"	6.385652
18	"Audrey_Hepburn @starring The_Children's_Hour producer William_Wyler @producer Roman_Holiday starring Gregory_Peck"	6.385652
19	"Audrey_Hepburn @starring Roman_Holiday screenplay Ian_McLellan_Hunter @author The_Blue_and_the_Gray starring Gregory_Peck"	6.384616
